phase_key,arm,calibrator,group,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,log_loss_mean,log_loss_std,log_loss_count,macro_f1_mean,macro_f1_std,macro_f1_count,roc_auc_mean,roc_auc_std,roc_auc_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count
P6_clean,shared,isotonic,arrival_missing,-8.577514395924357e-06,6.063538650264643e-05,3,-0.004272579668193366,0.0024665554192184864,3,-3.6525411773735694e-05,0.0001882524560603847,3,-0.0016046364110430256,0.000749395537152415,3,-0.000918358935881806,0.000254147200377708,3,0.001751180143139926,0.01958293399151416,3,-0.0027928578533835124,0.004904756807426032,3,0.0022069817737865333,0.00034250911493150595,3
P6_clean,shared,isotonic,both_missing,0.00012082076227190597,0.00013038051228794192,3,0.00036990568492253326,0.0032924665256008154,3,0.0005323678170184124,0.0004908298130016887,3,0.0017307055148529926,0.0027357074338106523,3,-0.003368289500059444,0.00411107567246457,3,0.005138086062941564,0.012536429862519675,3,0.001900446427612205,0.0070195105798958445,3,0.0012805605436655666,0.0013712728116858257,3
P6_clean,shared,isotonic,both_observed,1.9558552043376826e-05,3.325044517270493e-05,3,-0.0022520422758828666,0.0008752419902710695,3,0.001684850848301056,0.0006772808496054763,3,-0.00022314277067680965,0.0007035107484129902,3,-0.0006542614119032416,0.00021407920053683876,3,0.004013702593971991,0.019916926264434847,3,-0.0008018448324482544,0.0035275249290688485,3,0.0020980300318686872,0.00040909013384534423,3
P6_clean,shared,isotonic,departure_missing,-5.4889871508534416e-05,4.3088687703600715e-05,3,-0.0044841041365837,0.0010577689322086984,3,0.00020032352339544035,0.0008608571755740952,3,-0.0011448056448575272,0.00081707051102239,3,-0.0005786228569705602,0.0003339029466974673,3,0.0026563448694595926,0.02162704095523018,3,-0.0021549274504085725,0.0031084983867952355,3,0.0022404685597802666,0.00046353030242595383,3
P6_clean,shared,isotonic,overall,1.079867237603153e-05,2.768472183150327e-05,3,-0.0027117248741765666,0.000772129809364779,3,0.0013602976585553317,0.0006061125085528469,3,-0.00043668979390202683,0.0006651871622277235,3,-0.0006837814352559738,0.00011228499897521978,3,0.003674074074074052,0.019942563617082895,3,-0.0011265136158544187,0.0036395397340618085,3,0.0021127050219755666,0.0004176201130006245,3
P6_clean,shared,platt,arrival_missing,-3.252319396659006e-05,3.1032945929260014e-05,3,-0.0012635252762165665,0.0016380321809178276,3,-0.0001014672385574918,0.00012007737876727012,3,-0.0008997226032069946,0.0012063165821683966,3,3.1469231972354926e-05,8.612402647871574e-05,3,0.009669559920816232,0.01040311779135084,3,-0.0035926300461862812,7.788689574792003e-05,3,0.0021645048619619665,0.0004067839167995352,3
P6_clean,shared,platt,both_missing,4.982161628402926e-05,5.668034791517119e-05,3,-0.0007276190524957999,0.002411844525277149,3,0.00012329840346671692,0.00013432098939660027,3,0.0021001131771683688,0.0044495640792426945,3,-0.00048732046357324865,0.0001233808027251209,3,0.007064868336544632,0.007786997850341784,3,-0.0008748943726751279,0.011768486621362392,3,0.0016676035484311667,0.000866864807787402,3
P6_clean,shared,platt,both_observed,-1.2943692737428977e-05,9.358295101141991e-06,3,-0.0010658308991367998,0.0010528544068521364,3,-5.422905893455917e-05,4.093752460065703e-05,3,-0.00015532241076243736,0.0005912526136461879,3,-3.603599395218815e-06,1.8116003377468082e-05,3,0.009810235875033805,0.008691827051873317,3,-0.002119797203895509,0.0008358038102775911,3,0.002134644323968255,0.00041913479587166283,3
P6_clean,shared,platt,departure_missing,-6.69722796672878e-06,2.0215855374065058e-05,3,-0.0017511803410331006,0.0004912792914671974,3,-6.544381547055982e-05,9.612626733402854e-05,3,0.00025770739612292665,0.0011122730517503928,3,-2.3406523155985088e-05,2.206245299580933e-05,3,0.011536126290224658,0.00713620157736278,3,-0.001830038990152531,0.00267921359571252,3,0.002120559677610367,0.0004346701406782788,3
P6_clean,shared,platt,overall,-1.3482816118071117e-05,1.1094865625864327e-05,3,-0.0011109763525619333,0.0009573052485597924,3,-5.777694781886981e-05,5.088435219941869e-05,3,-0.0001673443619121251,0.0005385782221112683,3,-4.723504843965702e-06,1.2658510792585048e-05,3,0.00993333333333333,0.008655462843605554,3,-0.0022349634765552926,0.0008076089490366141,3,0.0021306094816593,0.0004246950136291129,3
