bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,arm,calibrator
4,0.4,0.5,1860,0.43473341698589096,0.37688172043010754,P6_clean,7,split,none
5,0.5,0.6,299,0.5369779715271119,0.451505016722408,P6_clean,7,split,none
6,0.6,0.7,43,0.6311642704166495,0.5348837209302325,P6_clean,7,split,none
7,0.7,0.8,3,0.7510590842094086,0.6666666666666666,P6_clean,7,split,none
8,0.8,0.9,0,,,P6_clean,7,split,none
9,0.9,1.0,0,,,P6_clean,7,split,none
0,0.0,0.1,35583,0.08299999416098715,0.08082511311581374,P6_clean,7,split,platt
1,0.1,0.2,136188,0.14931227479344295,0.14745058301759334,P6_clean,7,split,platt
2,0.2,0.3,66897,0.23976377889434788,0.24533237663871324,P6_clean,7,split,platt
3,0.3,0.4,13863,0.3359192421332208,0.3360023083026762,P6_clean,7,split,platt
4,0.4,0.5,2075,0.4349491383846086,0.3893975903614458,P6_clean,7,split,platt
5,0.5,0.6,339,0.536411000418117,0.39823008849557523,P6_clean,7,split,platt
6,0.6,0.7,51,0.6294444133794358,0.5490196078431373,P6_clean,7,split,platt
7,0.7,0.8,5,0.7340217674029403,0.4,P6_clean,7,split,platt
8,0.8,0.9,0,,,P6_clean,7,split,platt
9,0.9,1.0,0,,,P6_clean,7,split,platt
0,0.0,0.1,42752,0.07878083366766765,0.0843001497005988,P6_clean,7,split,isotonic
1,0.1,0.2,126361,0.15154518037420264,0.14965060422123916,P6_clean,7,split,isotonic
2,0.2,0.3,70033,0.24341517807059979,0.2430711236131538,P6_clean,7,split,isotonic
3,0.3,0.4,15050,0.3409384692573183,0.340265780730897,P6_clean,7,split,isotonic
4,0.4,0.5,560,0.46584576830247926,0.4125,P6_clean,7,split,isotonic
5,0.5,0.6,85,0.5300655074448022,0.4235294117647059,P6_clean,7,split,isotonic
6,0.6,0.7,148,0.6200690244450368,0.4527027027027027,P6_clean,7,split,isotonic
7,0.7,0.8,11,0.7509889586082529,0.6363636363636364,P6_clean,7,split,isotonic
8,0.8,0.9,0,,,P6_clean,7,split,isotonic
9,0.9,1.0,1,1.0,1.0,P6_clean,7,split,isotonic
