bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,arm,calibrator
6,0.6,0.7,27,0.6322474034704789,0.4444444444444444,P6_clean,42,shared,platt
7,0.7,0.8,5,0.7272961749839977,0.4,P6_clean,42,shared,platt
8,0.8,0.9,0,,,P6_clean,42,shared,platt
9,0.9,1.0,0,,,P6_clean,42,shared,platt
0,0.0,0.1,34015,0.07517395330975939,0.08017051300896663,P6_clean,42,shared,isotonic
1,0.1,0.2,135265,0.14608280905721033,0.14510035855542824,P6_clean,42,shared,isotonic
2,0.2,0.3,65432,0.24078028978255955,0.24237376207360312,P6_clean,42,shared,isotonic
3,0.3,0.4,19062,0.3320631849022078,0.3294512642954569,P6_clean,42,shared,isotonic
4,0.4,0.5,1088,0.4277562436719169,0.4016544117647059,P6_clean,42,shared,isotonic
5,0.5,0.6,77,0.5154982485914787,0.4805194805194805,P6_clean,42,shared,isotonic
6,0.6,0.7,61,0.6101434073298825,0.5409836065573771,P6_clean,42,shared,isotonic
7,0.7,0.8,0,,,P6_clean,42,shared,isotonic
8,0.8,0.9,0,,,P6_clean,42,shared,isotonic
9,0.9,1.0,1,0.9556134869445256,0.0,P6_clean,42,shared,isotonic
0,0.0,0.1,33216,0.08515977745254757,0.07966040462427745,P6_clean,42,split,none
1,0.1,0.2,143252,0.14947320510713744,0.14794906877390893,P6_clean,42,split,none
2,0.2,0.3,64868,0.238718335485549,0.2520194857248566,P6_clean,42,split,none
3,0.3,0.4,11935,0.3349005635559435,0.34285714285714286,P6_clean,42,split,none
4,0.4,0.5,1532,0.43354430242605163,0.4066579634464752,P6_clean,42,split,none
5,0.5,0.6,181,0.5285207432767307,0.4972375690607735,P6_clean,42,split,none
6,0.6,0.7,16,0.6323460708394651,0.4375,P6_clean,42,split,none
7,0.7,0.8,1,0.7278530651936665,0.0,P6_clean,42,split,none
8,0.8,0.9,0,,,P6_clean,42,split,none
9,0.9,1.0,0,,,P6_clean,42,split,none
0,0.0,0.1,37239,0.0833528109252795,0.0813931630817154,P6_clean,42,split,platt
1,0.1,0.2,136205,0.14929261640363242,0.1480929481296575,P6_clean,42,split,platt
2,0.2,0.3,64849,0.24009852861689004,0.2472821477586393,P6_clean,42,split,platt
3,0.3,0.4,14135,0.3363804631288645,0.3347718429430492,P6_clean,42,split,platt
4,0.4,0.5,2207,0.43454338786669894,0.39057544177616677,P6_clean,42,split,platt
5,0.5,0.6,334,0.533649054839223,0.46407185628742514,P6_clean,42,split,platt
6,0.6,0.7,28,0.6354396511576675,0.39285714285714285,P6_clean,42,split,platt
7,0.7,0.8,4,0.7340016117722173,0.5,P6_clean,42,split,platt
8,0.8,0.9,0,,,P6_clean,42,split,platt
9,0.9,1.0,0,,,P6_clean,42,split,platt
0,0.0,0.1,38217,0.07767242389611874,0.0824763848549075,P6_clean,42,split,isotonic
1,0.1,0.2,133118,0.14831476576241098,0.14751573791673553,P6_clean,42,split,isotonic
2,0.2,0.3,62588,0.24012186031995497,0.24250655077650668,P6_clean,42,split,isotonic
3,0.3,0.4,19554,0.3314619883321111,0.32729876240155464,P6_clean,42,split,isotonic
4,0.4,0.5,1330,0.4346686312231995,0.4037593984962406,P6_clean,42,split,isotonic
5,0.5,0.6,164,0.5342083082954308,0.47560975609756095,P6_clean,42,split,isotonic
6,0.6,0.7,30,0.6370868685370848,0.6,P6_clean,42,split,isotonic
7,0.7,0.8,0,,,P6_clean,42,split,isotonic
8,0.8,0.9,0,,,P6_clean,42,split,isotonic
9,0.9,1.0,0,,,P6_clean,42,split,isotonic
0,0.0,0.1,36380,0.08405844721222219,0.08004398020890599,P6_fixed,1,shared,none
1,0.1,0.2,139229,0.14985334439441075,0.15040688362338306,P6_fixed,1,shared,none
2,0.2,0.3,65484,0.23849618445780124,0.24975566550607783,P6_fixed,1,shared,none
3,0.3,0.4,11967,0.3350241173676495,0.3380128687223197,P6_fixed,1,shared,none
4,0.4,0.5,1690,0.43450396633902116,0.37041420118343193,P6_fixed,1,shared,none
5,0.5,0.6,229,0.5353145324440307,0.48034934497816595,P6_fixed,1,shared,none
6,0.6,0.7,21,0.6486836507519091,0.5238095238095238,P6_fixed,1,shared,none
7,0.7,0.8,1,0.719074909010071,0.0,P6_fixed,1,shared,none
8,0.8,0.9,0,,,P6_fixed,1,shared,none
9,0.9,1.0,0,,,P6_fixed,1,shared,none
0,0.0,0.1,37357,0.08333834713752084,0.08073453435768396,P6_fixed,1,shared,platt
1,0.1,0.2,135021,0.14990199089789838,0.14961376378489272,P6_fixed,1,shared,platt
2,0.2,0.3,66596,0.23928693701863613,0.245720463691513,P6_fixed,1,shared,platt
3,0.3,0.4,13574,0.3357689331427806,0.3302637395019891,P6_fixed,1,shared,platt
4,0.4,0.5,2096,0.43514935905072377,0.3702290076335878,P6_fixed,1,shared,platt
5,0.5,0.6,317,0.5345223541586084,0.4479495268138801,P6_fixed,1,shared,platt
6,0.6,0.7,35,0.6353915642095335,0.45714285714285713,P6_fixed,1,shared,platt
7,0.7,0.8,5,0.7167823402435664,0.4,P6_fixed,1,shared,platt
8,0.8,0.9,0,,,P6_fixed,1,shared,platt
9,0.9,1.0,0,,,P6_fixed,1,shared,platt
0,0.0,0.1,32053,0.07796329243220135,0.07790222444076997,P6_fixed,1,shared,isotonic
1,0.1,0.2,135888,0.1437406968224213,0.14598787236547744,P6_fixed,1,shared,isotonic
2,0.2,0.3,69379,0.24350742122713934,0.2410815952954064,P6_fixed,1,shared,isotonic
3,0.3,0.4,16174,0.3322133897857817,0.3307777915172499,P6_fixed,1,shared,isotonic
4,0.4,0.5,1400,0.4189775312291324,0.38642857142857145,P6_fixed,1,shared,isotonic
5,0.5,0.6,82,0.5501287693570225,0.4268292682926829,P6_fixed,1,shared,isotonic
6,0.6,0.7,2,0.6666666666666666,0.5,P6_fixed,1,shared,isotonic
7,0.7,0.8,1,0.7530078460405156,1.0,P6_fixed,1,shared,isotonic
8,0.8,0.9,14,0.8025240005310277,0.42857142857142855,P6_fixed,1,shared,isotonic
9,0.9,1.0,8,0.9949817346067882,0.625,P6_fixed,1,shared,isotonic
0,0.0,0.1,36265,0.08410138177484831,0.0800220598373087,P6_fixed,1,split,none
1,0.1,0.2,139293,0.14973756641707422,0.15043110565498624,P6_fixed,1,split,none
2,0.2,0.3,65487,0.23857734925668406,0.24933192847435368,P6_fixed,1,split,none
3,0.3,0.4,11998,0.3351897302309538,0.3382230371728621,P6_fixed,1,split,none
4,0.4,0.5,1725,0.434739991313958,0.3710144927536232,P6_fixed,1,split,none
5,0.5,0.6,216,0.5348811733365632,0.5185185185185185,P6_fixed,1,split,none
6,0.6,0.7,16,0.6481032274306442,0.375,P6_fixed,1,split,none
7,0.7,0.8,1,0.719074909010071,0.0,P6_fixed,1,split,none
8,0.8,0.9,0,,,P6_fixed,1,split,none
9,0.9,1.0,0,,,P6_fixed,1,split,none
0,0.0,0.1,36938,0.08358531506520947,0.08035085819481293,P6_fixed,1,split,platt
1,0.1,0.2,135492,0.14984238863094934,0.1495660260384377,P6_fixed,1,split,platt
2,0.2,0.3,66690,0.23924821735521237,0.24546408756935073,P6_fixed,1,split,platt
3,0.3,0.4,13473,0.3357229854239508,0.33288799821865955,P6_fixed,1,split,platt
4,0.4,0.5,2073,0.4352826572419265,0.36468885672937773,P6_fixed,1,split,platt
5,0.5,0.6,301,0.5354370962502922,0.4584717607973422,P6_fixed,1,split,platt
6,0.6,0.7,30,0.6341625702792335,0.5333333333333333,P6_fixed,1,split,platt
7,0.7,0.8,4,0.7152508183233608,0.5,P6_fixed,1,split,platt
8,0.8,0.9,0,,,P6_fixed,1,split,platt
9,0.9,1.0,0,,,P6_fixed,1,split,platt
0,0.0,0.1,33641,0.07842240699700061,0.07963496923397045,P6_fixed,1,split,isotonic
1,0.1,0.2,133718,0.1440243100962724,0.14610598423548063,P6_fixed,1,split,isotonic
2,0.2,0.3,69066,0.2408401491761929,0.24032085251788143,P6_fixed,1,split,isotonic
3,0.3,0.4,16695,0.33433163003591915,0.3286013776579814,P6_fixed,1,split,isotonic
4,0.4,0.5,1629,0.4285577392719037,0.35850214855739715,P6_fixed,1,split,isotonic
5,0.5,0.6,109,0.5361282851491439,0.45871559633027525,P6_fixed,1,split,isotonic
6,0.6,0.7,82,0.6809483769853995,0.4878048780487805,P6_fixed,1,split,isotonic
7,0.7,0.8,27,0.7542199954094571,0.37037037037037035,P6_fixed,1,split,isotonic
8,0.8,0.9,7,0.8485666872876129,0.42857142857142855,P6_fixed,1,split,isotonic
9,0.9,1.0,27,0.9969730698650705,0.48148148148148145,P6_fixed,1,split,isotonic
0,0.0,0.1,36300,0.08438186398957219,0.08013774104683195,P6_clean,1,shared,none
1,0.1,0.2,139810,0.1499202920519324,0.14996066089693155,P6_clean,1,shared,none
2,0.2,0.3,64724,0.23873767232204882,0.2514368704035597,P6_clean,1,shared,none
3,0.3,0.4,12104,0.3353987654823645,0.33303040317250493,P6_clean,1,shared,none
4,0.4,0.5,1825,0.4335684341530587,0.39287671232876714,P6_clean,1,shared,none
5,0.5,0.6,211,0.5348366323289019,0.4218009478672986,P6_clean,1,shared,none
6,0.6,0.7,23,0.6258131989074024,0.5217391304347826,P6_clean,1,shared,none
7,0.7,0.8,4,0.7262587548749263,0.5,P6_clean,1,shared,none
8,0.8,0.9,0,,,P6_clean,1,shared,none
9,0.9,1.0,0,,,P6_clean,1,shared,none
0,0.0,0.1,37803,0.08337129209399495,0.0807872391080073,P6_clean,1,shared,platt
1,0.1,0.2,135176,0.1499211763419357,0.14930165118068295,P6_clean,1,shared,platt
2,0.2,0.3,65569,0.23966701538485688,0.24712897863319558,P6_clean,1,shared,platt
3,0.3,0.4,13800,0.33635877786503193,0.32753623188405795,P6_clean,1,shared,platt
4,0.4,0.5,2299,0.4354171291837242,0.3823401478903871,P6_clean,1,shared,platt
5,0.5,0.6,305,0.5327553133242391,0.45901639344262296,P6_clean,1,shared,platt
6,0.6,0.7,43,0.625558842437721,0.4186046511627907,P6_clean,1,shared,platt
7,0.7,0.8,6,0.7383899325853466,0.5,P6_clean,1,shared,platt
8,0.8,0.9,0,,,P6_clean,1,shared,platt
9,0.9,1.0,0,,,P6_clean,1,shared,platt
0,0.0,0.1,37447,0.08076593091830313,0.08139503832082677,P6_clean,1,shared,isotonic
1,0.1,0.2,129587,0.1450477536544197,0.1469437520738963,P6_clean,1,shared,isotonic
2,0.2,0.3,66919,0.2389205523305836,0.23813864522781272,P6_clean,1,shared,isotonic
3,0.3,0.4,20153,0.333548094699283,0.32754428621048975,P6_clean,1,shared,isotonic
4,0.4,0.5,714,0.44729948466074115,0.4103641456582633,P6_clean,1,shared,isotonic
5,0.5,0.6,78,0.5253381153968351,0.4358974358974359,P6_clean,1,shared,isotonic
6,0.6,0.7,72,0.6201893648174956,0.4166666666666667,P6_clean,1,shared,isotonic
7,0.7,0.8,9,0.7509638294566728,0.4444444444444444,P6_clean,1,shared,isotonic
8,0.8,0.9,0,,,P6_clean,1,shared,isotonic
9,0.9,1.0,22,1.0,0.5454545454545454,P6_clean,1,shared,isotonic
0,0.0,0.1,38307,0.08262455189517819,0.08189103819145326,P6_clean,1,split,none
1,0.1,0.2,137555,0.14968460850419496,0.15047799062193304,P6_clean,1,split,none
2,0.2,0.3,64118,0.23909128882405511,0.25024174178857733,P6_clean,1,split,none
3,0.3,0.4,12695,0.3358968755473886,0.331075226467113,P6_clean,1,split,none
4,0.4,0.5,2038,0.43453983044789096,0.38665358194308147,P6_clean,1,split,none
5,0.5,0.6,254,0.5340270085791977,0.4409448818897638,P6_clean,1,split,none
6,0.6,0.7,30,0.6359665139444657,0.4666666666666667,P6_clean,1,split,none
7,0.7,0.8,4,0.7262587548749263,0.5,P6_clean,1,split,none
8,0.8,0.9,0,,,P6_clean,1,split,none
9,0.9,1.0,0,,,P6_clean,1,split,none
0,0.0,0.1,37056,0.08295892209799643,0.08101252158894647,P6_clean,1,split,platt
1,0.1,0.2,135857,0.15004354223106212,0.1488992101989592,P6_clean,1,split,platt
2,0.2,0.3,65902,0.23946568810650506,0.24753421747443174,P6_clean,1,split,platt
3,0.3,0.4,13630,0.33602450462021327,0.3268525311812179,P6_clean,1,split,platt
4,0.4,0.5,2215,0.4348877478247417,0.3805869074492099,P6_clean,1,split,platt
5,0.5,0.6,293,0.5314946942805268,0.46757679180887374,P6_clean,1,split,platt
6,0.6,0.7,43,0.6284891081612488,0.4186046511627907,P6_clean,1,split,platt
7,0.7,0.8,5,0.7402670650352652,0.6,P6_clean,1,split,platt
8,0.8,0.9,0,,,P6_clean,1,split,platt
9,0.9,1.0,0,,,P6_clean,1,split,platt
0,0.0,0.1,35267,0.07881659019633298,0.08027334335214223,P6_clean,1,split,isotonic
1,0.1,0.2,141066,0.1480542347735315,0.15016375313682956,P6_clean,1,split,isotonic
2,0.2,0.3,56806,0.24318112614369267,0.2428088582192022,P6_clean,1,split,isotonic
3,0.3,0.4,20322,0.33228460157583567,0.32541088475543745,P6_clean,1,split,isotonic
