latency_minutes,role,n,p10,p25,median,p75,p90,max
0,origin,269,5.0,10.0,27.0,42.0,53.20000000000002,59.0
0,destination,271,3.0,9.0,26.0,40.0,53.0,59.0
10,origin,269,15.8,24.0,37.0,57.0,66.0,69.0
10,destination,271,17.0,26.0,38.0,57.0,66.0,69.0
30,origin,268,34.0,42.0,57.0,70.25,82.0,89.0
30,destination,271,34.0,42.0,58.0,72.0,83.0,89.0
60,origin,154,62.0,66.0,72.0,82.0,87.0,90.0
60,destination,158,62.0,67.0,72.0,82.0,87.0,90.0
