phase_key,arm,calibrator,group,macro_f1_mean,macro_f1_std,macro_f1_count,log_loss_mean,log_loss_std,log_loss_count,roc_auc_mean,roc_auc_std,roc_auc_count,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,fnr_mean,fnr_std,fnr_count
P6_clean,shared,isotonic,arrival_missing,0.533231474407945,,1,0.42622683691662366,,1,0.6971153846153846,,1,0.13523937093776411,,1,0.018515107608790913,,1,0.014814830087976849,,1,0.2222222222222222,,1,0.25,,1,0.75,,1
P6_clean,shared,isotonic,both_missing,0.2857142857142857,,1,0.6114647092003043,,1,0.25,,1,0.197845973520436,,1,0.3340068201193521,,1,-0.018934356351236165,,1,0.0,,1,0.0,,1,1.0,,1
P6_clean,shared,isotonic,both_observed,0.5231033475285306,,1,0.791005297423314,,1,0.5900107278428783,,1,0.14963424097027406,,1,0.034714423335042724,,1,0.007797377358948282,,1,0.2169811320754717,,1,0.3150684931506849,,1,0.684931506849315,,1
P6_clean,shared,isotonic,departure_missing,0.49034749034749037,,1,1.346303006717818,,1,0.47222222222222227,,1,0.1628774214504201,,1,0.07705073144622498,,1,-0.013753910458269236,,1,0.16666666666666666,,1,0.125,,1,0.875,,1
P6_clean,shared,isotonic,overall,0.5200378443028258,,1,0.8037614024612955,,1,0.5853203568532036,,1,0.14992805277137042,,1,0.033633099521523685,,1,0.006296189625926013,,1,0.21138211382113822,,1,0.28888888888888886,,1,0.7111111111111111,,1
P6_clean,shared,none,arrival_missing,0.46590909090909094,,1,0.446874543911202,,1,0.5769230769230769,,1,0.13986057783088754,,1,0.06763554828266755,,1,0.012836128782912348,,1,0.14285714285714285,,1,0.25,,1,0.75,,1
P6_clean,shared,none,both_missing,0.375,,1,0.6292716476535509,,1,0.25,,1,0.19122894464048548,,1,0.28913722472261927,,1,-0.04217748221164461,,1,0.0,,1,0.0,,1,1.0,,1
P6_clean,shared,none,both_observed,0.5203657684243224,,1,0.4693969478597605,,1,0.5722272652252847,,1,0.14763841205293485,,1,0.02073287776138906,,1,-0.003525677032250374,,1,0.21176470588235294,,1,0.2465753424657534,,1,0.7534246575342466,,1
P6_clean,shared,none,departure_missing,0.49034749034749037,,1,0.497399099578159,,1,0.4409722222222222,,1,0.15423649728027208,,1,0.03156688413734213,,1,-0.02082961080769835,,1,0.16666666666666666,,1,0.125,,1,0.875,,1
P6_clean,shared,none,overall,0.5116093583835519,,1,0.47133889434478293,,1,0.5576507164098405,,1,0.1479232627605284,,1,0.024324371324051713,,1,-0.003896190482757411,,1,0.19811320754716982,,1,0.23333333333333334,,1,0.7666666666666667,,1
