phase_key,arm,calibrator,group,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,log_loss_mean,log_loss_std,log_loss_count,macro_f1_mean,macro_f1_std,macro_f1_count,roc_auc_mean,roc_auc_std,roc_auc_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count,n_mean,n_std,n_count
P6_clean,shared,isotonic,arrival_missing,0.1352393709377641,,1,0.0185151076087909,,1,0.4262268369166236,,1,0.533231474407945,,1,0.6971153846153846,,1,0.25,,1,0.2222222222222222,,1,0.0148148300879768,,1,47.0,,1
P6_clean,shared,isotonic,both_missing,0.197845973520436,,1,0.3340068201193521,,1,0.6114647092003043,,1,0.2857142857142857,,1,0.25,,1,0.0,,1,0.0,,1,-0.0189343563512361,,1,5.0,,1
P6_clean,shared,isotonic,both_observed,0.149634240970274,,1,0.0347144233350427,,1,0.791005297423314,,1,0.5231033475285306,,1,0.5900107278428783,,1,0.3150684931506849,,1,0.2169811320754717,,1,0.0077973773589482,,1,405.0,,1
P6_clean,shared,isotonic,departure_missing,0.1628774214504201,,1,0.0770507314462249,,1,1.346303006717818,,1,0.4903474903474903,,1,0.4722222222222222,,1,0.125,,1,0.1666666666666666,,1,-0.0137539104582692,,1,44.0,,1
P6_clean,shared,isotonic,overall,0.1499280527713704,,1,0.0336330995215236,,1,0.8037614024612955,,1,0.5200378443028258,,1,0.5853203568532036,,1,0.2888888888888888,,1,0.2113821138211382,,1,0.006296189625926,,1,501.0,,1
P6_clean,shared,none,arrival_missing,0.1398605778308875,,1,0.0676355482826675,,1,0.446874543911202,,1,0.4659090909090909,,1,0.5769230769230769,,1,0.25,,1,0.1428571428571428,,1,0.0128361287829123,,1,47.0,,1
P6_clean,shared,none,both_missing,0.1912289446404854,,1,0.2891372247226192,,1,0.6292716476535509,,1,0.375,,1,0.25,,1,0.0,,1,0.0,,1,-0.0421774822116446,,1,5.0,,1
P6_clean,shared,none,both_observed,0.1476384120529348,,1,0.020732877761389,,1,0.4693969478597605,,1,0.5203657684243224,,1,0.5722272652252847,,1,0.2465753424657534,,1,0.2117647058823529,,1,-0.0035256770322503,,1,405.0,,1
P6_clean,shared,none,departure_missing,0.154236497280272,,1,0.0315668841373421,,1,0.497399099578159,,1,0.4903474903474903,,1,0.4409722222222222,,1,0.125,,1,0.1666666666666666,,1,-0.0208296108076983,,1,44.0,,1
P6_clean,shared,none,overall,0.1479232627605284,,1,0.0243243713240517,,1,0.4713388943447829,,1,0.5116093583835519,,1,0.5576507164098405,,1,0.2333333333333333,,1,0.1981132075471698,,1,-0.0038961904827574,,1,501.0,,1
