phase_key,dimension,group,n_mean,n_std,positive_rate_mean,positive_rate_std,macro_f1_mean,macro_f1_std,log_loss_mean,log_loss_std,roc_auc_mean,roc_auc_std,brier_mean,brier_std,ece_10_mean,ece_10_std,calibration_bias_mean,calibration_bias_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,fnr_mean,fnr_std,error_rate_mean,error_rate_std
P6_clean,feature_missing__Airline,missing,19876.0,0.0,0.166733749245321,0.0,0.5599174540523673,0.0023372925042554897,0.4368312810693922,0.0005182555754968597,0.6242343984191757,0.0033530889396769345,0.13492592312891546,0.00014700303413106027,0.0025285085812101335,0.00020814975803794988,-0.0014434874261578523,0.0001971839752363249,0.2810187551381463,0.004448452799214433,0.23114061557030777,0.00905250452625227,0.11836332166002496,0.005529339800095211,0.7688593844296921,0.009052504526252253,0.22682296907493124,0.0033472879186181833
P6_clean,feature_missing__Airline,observed,235125.0,0.0,0.17729292929292928,0.0,0.5764281919273757,0.0010181914419328812,0.4484851419077243,0.00028707773389636,0.6441183098175445,0.0011769900084466643,0.1403246832240632,9.273554213996153e-05,0.004854866109890313,0.0008881831090303844,-0.002252446950547391,0.00024452768757285545,0.29258679399624393,0.002419808399046232,0.34460810184074586,0.009441877910685681,0.17958977593280914,0.006556710043162636,0.6553918981592541,0.009441877910685717,0.26394612794612793,0.003790877585286271
P6_clean,feature_missing__Arr_Hour,missing,3031.0,0.0,0.17123061695809963,0.0,0.508515716511042,0.003874805157158843,0.45444104706612687,0.0008390291720913305,0.5760432135128392,0.008470671918362696,0.14106537156672064,0.00020111091857980513,0.008982160580789027,0.0013500251694474124,-0.0022980089284077576,0.00021017379245494435,0.22509576739308682,0.010387719052689023,0.10019267822736029,0.005780346820809246,0.07125796178343949,0.0024860660821649657,0.8998073217726397,0.005780346820809273,0.21313097987462884,0.002060375453117255
P6_clean,feature_missing__Arr_Hour,observed,251970.0,0.0,0.17653292058578404,0.0,0.5761056820649663,0.001054674979567354,0.44749421248534155,0.0003148219290865735,0.6435016084801531,0.0013720221873413396,0.13988990613941918,9.962436512572297e-05,0.004671610178126914,0.0009084273158283258,-0.0021880862018008687,0.00024359223795499533,0.29227752831942744,0.002460537930710168,0.33900616742729106,0.009537283922555644,0.17601415014771868,0.006546452936380295,0.6609938325727089,0.009537283922555666,0.26162902991096826,0.003782332329654527
P6_clean,feature_missing__Dep_Hour,missing,3031.0,0.0,0.17123061695809963,0.0,0.508515716511042,0.003874805157158843,0.45444104706612687,0.0008390291720913305,0.5760432135128392,0.008470671918362696,0.14106537156672064,0.00020111091857980513,0.008982160580789027,0.0013500251694474124,-0.0022980089284077576,0.00021017379245494435,0.22509576739308682,0.010387719052689023,0.10019267822736029,0.005780346820809246,0.07125796178343949,0.0024860660821649657,0.8998073217726397,0.005780346820809273,0.21313097987462884,0.002060375453117255
P6_clean,feature_missing__Dep_Hour,observed,251970.0,0.0,0.17653292058578404,0.0,0.5761056820649663,0.001054674979567354,0.44749421248534155,0.0003148219290865735,0.6435016084801531,0.0013720221873413396,0.13988990613941918,9.962436512572297e-05,0.004671610178126914,0.0009084273158283258,-0.0021880862018008687,0.00024359223795499533,0.29227752831942744,0.002460537930710168,0.33900616742729106,0.009537283922555644,0.17601415014771868,0.006546452936380295,0.6609938325727089,0.009537283922555666,0.26162902991096826,0.003782332329654527
P6_clean,overall,all,255001.0,0.0,0.17646989619648554,0.0,0.5756847605700698,0.0010749176024492954,0.4475767841443325,0.0003045922518500381,0.6428037457317223,0.0013259179039457436,0.13990387798937332,9.690689802487389e-05,0.004588385887189622,0.0008480738834729213,-0.002189392768380418,0.00023926541069434768,0.2919772620372345,0.002461075177056199,0.33625185185185186,0.009403606697966544,0.17476107256632112,0.006440467966749287,0.6637481481481481,0.009403606697966516,0.2610525710356691,0.003723564542996705
P6_clean,raw_missing__Airline,missing,27540.0,0.0,0.1755628177196805,0.0,0.575813295239701,0.0034744977334346125,0.446221797609417,0.0009068408460642151,0.6417860193096094,0.004095989852127547,0.139280801956429,0.0002880027953821037,0.005411425710354092,0.00012981869146042125,-0.0037742452131488227,1.1475561874491257e-05,0.2966277463680587,0.005715844659523815,0.31368493622888655,0.010558895719815817,0.1584232547896939,0.0059121281124628776,0.6863150637711133,0.010558895719815792,0.2511014282256112,0.0038016117080158333
P6_clean,raw_missing__Airline,observed,227461.0,0.0,0.17657972135882635,0.0,0.5756383269491808,0.000814125885937195,0.4477408400887431,0.00023826622244215974,0.6429258541876214,0.001012718953638356,0.1399793173567694,7.488159149831955e-05,0.004630729197058316,0.0009285951875716536,-0.001997505647823805,0.0002692815912781839,0.2914695956129383,0.0022966906285361672,0.338968421926221,0.009313630958505778,0.17674162822484196,0.006532957176334344,0.661031578073779,0.009313630958505745,0.26225741262604724,0.0037787722620763508
P6_clean,raw_missing__Cancelled,missing,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
