seed,dimension,group,macro_f1,log_loss,roc_auc,brier,ece_10,calibration_bias,precision,recall,fpr,fnr,error_rate
42,overall,all,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Month,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Month,missing,,,,,,,,,,,
42,raw_missing__Day_of_Month,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Day_of_Month,missing,,,,,,,,,,,
42,raw_missing__Estimated_Departure_Time,observed,0.02049785667673265,-0.005875741732199236,0.0373032511397291,-0.0013980620495721297,-0.019378638262486862,0.003048412854594562,0.016305916305916296,-0.07407407407407407,-0.09433962264150947,0.07407407407407407,-0.06415929203539827
42,raw_missing__Estimated_Departure_Time,missing,-0.007714338507021468,0.038562429038160595,-0.2,0.00958600635340906,0.00030917673785126054,-0.004180776796001262,-0.023809523809523808,-0.1111111111111111,-0.1,0.11111111111111105,-0.06122448979591838
42,raw_missing__Estimated_Arrival_Time,observed,0.024138753926314427,-0.0011173309965503142,0.01365405260332786,-0.00020994164873061605,-0.01880984169066067,0.002178033688390396,0.023606023606023624,-0.07407407407407407,-0.10326086956521738,0.07407407407407407,-0.07126948775055675
42,raw_missing__Estimated_Arrival_Time,missing,-0.02884615384615391,-0.005088358127559811,0.03875968992248058,-0.001306652592490326,0.011135348948963564,0.0037516811766425684,-0.0431372549019608,-0.1111111111111111,-0.023255813953488413,0.11111111111111116,0.0
42,raw_missing__Cancelled,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Cancelled,missing,,,,,,,,,,,
42,raw_missing__Diverted,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Diverted,missing,,,,,,,,,,,
