bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
1,0.1,0.2,16216,0.15031147968602784,0.14868031573754317,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
2,0.2,0.3,6767,0.23763469667654769,0.25254913551056596,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
3,0.3,0.4,1220,0.33524346571270125,0.3442622950819672,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
4,0.4,0.5,172,0.4332123460328315,0.43023255813953487,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
5,0.5,0.6,17,0.5453853263749637,0.5882352941176471,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Cancelled,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Cancelled,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Cancelled,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Cancelled,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Cancelled,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Cancelled,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,raw_missing__Cancelled,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Cancelled,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Cancelled,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Cancelled,observed
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Diverted,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Diverted,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Diverted,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Diverted,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Diverted,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Diverted,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,raw_missing__Diverted,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Diverted,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Diverted,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Diverted,observed
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Origin_Airport,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Origin_Airport,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Origin_Airport,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Origin_Airport,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Origin_Airport,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Origin_Airport,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,raw_missing__Origin_Airport,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Origin_Airport,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Origin_Airport,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Origin_Airport,observed
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
