seed,dimension,group,macro_f1,log_loss,roc_auc,brier,ece_10,calibration_bias,precision,recall,fpr,fnr,error_rate
42,overall,all,0.0003898429851898477,-0.00010862357772778442,0.00040022507829329257,-4.5306484974028116e-05,-0.00013863915205354974,0.00015170881191342578,0.0018654009142011208,-0.005822222222222229,-0.004599978095342405,0.005822222222222173,-0.0027607734871628042
42,raw_missing__Month,observed,0.0003898429851898477,-0.00010862357772778442,0.00040022507829329257,-4.5306484974028116e-05,-0.00013863915205354974,0.00015170881191342578,0.0018654009142011208,-0.005822222222222229,-0.004599978095342405,0.005822222222222173,-0.0027607734871628042
42,raw_missing__Month,missing,,,,,,,,,,,
42,raw_missing__Day_of_Month,observed,0.0003898429851898477,-0.00010862357772778442,0.00040022507829329257,-4.5306484974028116e-05,-0.00013863915205354974,0.00015170881191342578,0.0018654009142011208,-0.005822222222222229,-0.004599978095342405,0.005822222222222173,-0.0027607734871628042
42,raw_missing__Day_of_Month,missing,,,,,,,,,,,
42,raw_missing__Estimated_Departure_Time,observed,7.012252671612096e-05,-7.143631909090065e-05,0.0003244857611617302,-3.333668563509917e-05,-0.0001802676727562227,9.403027238502615e-05,0.0013157009942639242,-0.006211180124223614,-0.004335252390803485,0.006211180124223614,-0.0024740271174502615
42,raw_missing__Estimated_Departure_Time,missing,0.0030434152081069143,-0.0004120414747843526,0.0008265841086028125,-0.00014297034826313282,-0.0007633507897654677,0.0006223189566380849,0.006729483493783606,-0.002647118713093033,-0.006759703445268217,0.0026471187130930884,-0.005100391508925661
42,raw_missing__Estimated_Arrival_Time,observed,-6.144711872491104e-05,-6.159374778214044e-05,0.00013888116655702554,-3.5389751517039825e-05,-0.00025085270229571223,0.00010424554856186541,0.001179641771883344,-0.006782534972445964,-0.004529575779589151,0.006782534972445964,-0.0025339063950342577
42,raw_missing__Estimated_Arrival_Time,missing,0.004219324390718038,-0.0004947917562334592,0.0025464580002683146,-0.00012673410017588482,0.00083073695464573,0.0005414359696681026,0.007902560249277046,0.002042066571370238,-0.005178391187958042,-0.0020420665713701824,-0.0046236093050137095
42,raw_missing__Cancelled,observed,0.0003898429851898477,-0.00010862357772778442,0.00040022507829329257,-4.5306484974028116e-05,-0.00013863915205354974,0.00015170881191342578,0.0018654009142011208,-0.005822222222222229,-0.004599978095342405,0.005822222222222173,-0.0027607734871628042
42,raw_missing__Cancelled,missing,,,,,,,,,,,
42,raw_missing__Diverted,observed,0.0003898429851898477,-0.00010862357772778442,0.00040022507829329257,-4.5306484974028116e-05,-0.00013863915205354974,0.00015170881191342578,0.0018654009142011208,-0.005822222222222229,-0.004599978095342405,0.005822222222222173,-0.0027607734871628042
42,raw_missing__Diverted,missing,,,,,,,,,,,
