stratum,non_empty_population_rows,selected_rows
2018|winter|Midwest:Denver|medium,38,1
2018|winter|Midwest:Denver|small,21,1
2018|winter|Midwest:Detroit|large,2047,1
2018|winter|Midwest:Detroit|medium,203,1
2018|winter|Midwest:Detroit|small,63,1
2018|winter|Midwest:Indianapolis|large,547,1
2018|winter|Midwest:Indianapolis|medium,143,1
2018|winter|Midwest:New_York|large,1284,1
2018|winter|Midwest:New_York|medium,91,1
2018|winter|Non-contiguous territory|large,321,1
2018|winter|Non-contiguous territory|medium,46,1
2018|winter|Non-contiguous territory|small,67,1
2018|winter|Northeast:New_York|large,10492,1
2018|winter|Northeast:New_York|medium,415,1
2018|winter|Northeast:New_York|small,64,1
2018|winter|South:Chicago|large,10530,1
2018|winter|South:Chicago|medium,773,1
2018|winter|South:Chicago|small,111,1
2018|winter|South:Denver|large,184,1
2018|winter|South:Louisville|large,265,1
2018|winter|South:New_York|large,18782,1
2018|winter|South:New_York|medium,633,1
2018|winter|South:New_York|small,71,1
2018|winter|West:Boise|large,271,1
2018|winter|West:Boise|medium,91,1
2018|winter|West:Boise|small,18,1
2018|winter|West:Denver|large,5232,1
2018|winter|West:Denver|medium,690,1
2018|winter|West:Denver|small,109,1
2018|winter|West:Los_Angeles|large,15767,1
2018|winter|West:Los_Angeles|medium,371,1
2018|winter|West:Los_Angeles|small,75,1
2018|winter|West:Phoenix|large,1974,1
2018|winter|West:Phoenix|medium,101,1
2018|winter|West:Phoenix|small,4,1
2019|fall|Alaska|large,182,1
2019|fall|Alaska|medium,115,1
2019|fall|Alaska|small,89,1
2019|fall|Hawaii|large,1227,1
2019|fall|Hawaii|medium,115,1
2019|fall|Midwest:Chicago|large,10120,1
2019|fall|Midwest:Chicago|medium,846,1
2019|fall|Midwest:Chicago|small,220,1
2019|fall|Midwest:Denver|medium,86,1
2019|fall|Midwest:Denver|small,10,1
2019|fall|Midwest:Detroit|large,2062,1
2019|fall|Midwest:Detroit|medium,227,1
2019|fall|Midwest:Detroit|small,63,1
2019|fall|Midwest:Indianapolis|large,565,1
2019|fall|Midwest:Indianapolis|medium,167,1
2019|fall|Midwest:New_York|large,1299,1
2019|fall|Midwest:New_York|medium,115,1
2019|fall|Non-contiguous territory|large,241,1
2019|fall|Non-contiguous territory|medium,47,1
2019|fall|Non-contiguous territory|small,24,1
2019|fall|Northeast:New_York|large,10995,1
2019|fall|Northeast:New_York|medium,470,1
2019|fall|Northeast:New_York|small,62,1
2019|fall|South:Chicago|large,11677,1
2019|fall|South:Chicago|medium,993,1
2019|fall|South:Chicago|small,193,1
2019|fall|South:Denver|large,216,1
2019|fall|South:Louisville|large,301,1
2019|fall|South:New_York|large,19658,1
2019|fall|South:New_York|medium,845,1
2019|fall|South:New_York|small,114,1
2019|fall|West:Boise|large,261,1
2019|fall|West:Boise|medium,55,1
2019|fall|West:Boise|small,13,1
2019|fall|West:Denver|large,5099,1
2019|fall|West:Denver|medium,496,1
2019|fall|West:Denver|small,132,1
2019|fall|West:Los_Angeles|large,14792,1
2019|fall|West:Los_Angeles|medium,475,1
2019|fall|West:Los_Angeles|small,56,1
2019|fall|West:Phoenix|large,2110,1
2019|fall|West:Phoenix|medium,102,1
2019|fall|West:Phoenix|small,11,1
2019|spring|Alaska|large,207,1
2019|spring|Alaska|medium,114,1
2019|spring|Alaska|small,103,1
2019|spring|Hawaii|large,1178,1
2019|spring|Hawaii|medium,91,1
2019|spring|Midwest:Chicago|large,9990,1
2019|spring|Midwest:Chicago|medium,794,1
2019|spring|Midwest:Chicago|small,202,1
2019|spring|Midwest:Denver|medium,71,1
2019|spring|Midwest:Denver|small,13,1
2019|spring|Midwest:Detroit|large,2213,1
2019|spring|Midwest:Detroit|medium,221,1
2019|spring|Midwest:Detroit|small,55,1
2019|spring|Midwest:Indianapolis|large,586,1
2019|spring|Midwest:Indianapolis|medium,158,1
2019|spring|Midwest:New_York|large,1281,1
2019|spring|Midwest:New_York|medium,126,1
2019|spring|Non-contiguous territory|large,293,1
2019|spring|Non-contiguous territory|medium,80,1
2019|spring|Non-contiguous territory|small,32,1
2019|spring|Northeast:New_York|large,11458,1
2019|spring|Northeast:New_York|medium,471,1
2019|spring|Northeast:New_York|small,87,1
2019|spring|South:Chicago|large,11901,1
2019|spring|South:Chicago|medium,888,1
2019|spring|South:Chicago|small,216,1
2019|spring|South:Denver|large,196,1
2019|spring|South:Louisville|large,303,1
2019|spring|South:New_York|large,21209,1
2019|spring|South:New_York|medium,884,1
2019|spring|South:New_York|small,153,1
2019|spring|West:Boise|large,285,1
2019|spring|West:Boise|medium,50,1
2019|spring|West:Boise|small,12,1
2019|spring|West:Denver|large,4776,1
2019|spring|West:Denver|medium,577,1
2019|spring|West:Denver|small,113,1
2019|spring|West:Los_Angeles|large,14914,1
2019|spring|West:Los_Angeles|medium,431,1
2019|spring|West:Los_Angeles|small,47,1
2019|spring|West:Phoenix|large,2253,1
2019|spring|West:Phoenix|medium,109,1
2019|spring|West:Phoenix|small,7,1
2019|summer|Alaska|large,305,1
2019|summer|Alaska|medium,155,1
2019|summer|Alaska|small,129,1
2019|summer|Hawaii|large,1395,1
2019|summer|Hawaii|medium,101,1
2019|summer|Midwest:Chicago|large,11003,1
2019|summer|Midwest:Chicago|medium,907,1
2019|summer|Midwest:Chicago|small,208,1
2019|summer|Midwest:Denver|medium,107,1
2019|summer|Midwest:Denver|small,12,1
2019|summer|Midwest:Detroit|large,2300,1
2019|summer|Midwest:Detroit|medium,277,1
2019|summer|Midwest:Detroit|small,82,1
2019|summer|Midwest:Indianapolis|large,532,1
2019|summer|Midwest:Indianapolis|medium,157,1
2019|summer|Midwest:New_York|large,1317,1
2019|summer|Midwest:New_York|medium,127,1
2019|summer|Non-contiguous territory|large,356,1
2019|summer|Non-contiguous territory|medium,69,1
2019|summer|Non-contiguous territory|small,39,1
2019|summer|Northeast:New_York|large,11716,1
2019|summer|Northeast:New_York|medium,506,1
2019|summer|Northeast:New_York|small,118,1
2019|summer|South:Chicago|large,12185,1
2019|summer|South:Chicago|medium,946,1
2019|summer|South:Chicago|small,178,1
2019|summer|South:Denver|large,237,1
2019|summer|South:Louisville|large,345,1
2019|summer|South:New_York|large,21514,1
2019|summer|South:New_York|medium,887,1
2019|summer|South:New_York|small,129,1
2019|summer|West:Boise|large,274,1
2019|summer|West:Boise|medium,75,1
2019|summer|West:Boise|small,15,1
2019|summer|West:Denver|large,5473,1
2019|summer|West:Denver|medium,669,1
2019|summer|West:Denver|small,130,1
2019|summer|West:Los_Angeles|large,15975,1
2019|summer|West:Los_Angeles|medium,479,1
2019|summer|West:Los_Angeles|small,69,1
2019|summer|West:Phoenix|large,2138,1
2019|summer|West:Phoenix|medium,112,1
2019|summer|West:Phoenix|small,11,1
2019|winter|Alaska|large,161,1
2019|winter|Alaska|medium,122,1
2019|winter|Alaska|small,92,0
2019|winter|Hawaii|large,1147,0
2019|winter|Hawaii|medium,112,0
2019|winter|Midwest:Chicago|large,9227,0
2019|winter|Midwest:Chicago|medium,712,0
2019|winter|Midwest:Chicago|small,219,0
2019|winter|Midwest:Denver|medium,42,0
2019|winter|Midwest:Denver|small,7,0
2019|winter|Midwest:Detroit|large,1978,0
2019|winter|Midwest:Detroit|medium,203,0
2019|winter|Midwest:Detroit|small,55,0
2019|winter|Midwest:Indianapolis|large,551,0
2019|winter|Midwest:Indianapolis|medium,154,0
2019|winter|Midwest:New_York|large,1149,0
2019|winter|Midwest:New_York|medium,105,0
2019|winter|Non-contiguous territory|large,344,0
2019|winter|Non-contiguous territory|medium,74,0
2019|winter|Non-contiguous territory|small,34,0
2019|winter|Northeast:New_York|large,10533,0
2019|winter|Northeast:New_York|medium,437,0
2019|winter|Northeast:New_York|small,84,0
2019|winter|South:Chicago|large,10795,0
2019|winter|South:Chicago|medium,845,0
2019|winter|South:Chicago|small,180,0
2019|winter|South:Denver|large,207,0
2019|winter|South:Louisville|large,297,0
2019|winter|South:New_York|large,19684,0
2019|winter|South:New_York|medium,868,0
2019|winter|South:New_York|small,93,0
2019|winter|West:Boise|large,260,0
2019|winter|West:Boise|medium,83,0
2019|winter|West:Boise|small,11,0
2019|winter|West:Denver|large,4596,0
2019|winter|West:Denver|medium,651,0
2019|winter|West:Denver|small,134,0
2019|winter|West:Los_Angeles|large,14183,0
2019|winter|West:Los_Angeles|medium,365,0
2019|winter|West:Los_Angeles|small,78,0
2019|winter|West:Phoenix|large,2197,0
2019|winter|West:Phoenix|medium,99,0
2019|winter|West:Phoenix|small,13,0
