phase_key,macro_f1_nested_mean,macro_f1_nested_std,log_loss_mean,log_loss_std,roc_auc_mean,roc_auc_std
P4,0.5749156666666667,0.0009640878244918485,0.44801599999999997,0.00026700561791844233,0.6411943333333333,0.0012655095153072725
P4_clean,0.574541,0.0007259779610979442,0.448216,0.0001332328788250234,0.6405963333333333,0.0006275940832523505
P4_impute,0.5743353333333333,0.0008028084038756227,0.44813566666666665,0.00025452766712742367,0.6408203333333333,0.0011452485901904848
P4_missing,0.5742583333333333,0.001742384668588815,0.44805500000000004,0.0004327817001676691,0.6411766666666666,0.0017352464762486618
P4_ratio,0.574299,0.0002708449741087678,0.4481576666666667,0.0001476290396003848,0.6407556666666666,0.0007026480864083477
P6_clean,0.575685,0.0010747469469600751,0.44757700000000006,0.000304847502860053,0.642804,0.0013260049019516954
P6_fixed,0.5760616666666667,0.0014911962759252854,0.44759666666666664,0.00041994563140164355,0.6427573333333333,0.0015217152602682881
P6_fixed_impute,0.575888,0.0012101822176846322,0.4476803333333333,0.000361184624995773,0.6424863333333334,0.0013112994827015462
P6_fixed_missing,0.5755513333333333,0.0007880230538083015,0.44756633333333334,0.00036691461313678324,0.6427646666666667,0.0014835890041831664
P6_fixed_ratio,0.5750583333333333,0.0012781879100246985,0.4476643333333333,0.00011173331344471643,0.6424106666666667,0.00030670072274664826
