phase_key,seed,fold,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,42,0,101,18,0.1782178217821782,0.17538477244614065,-0.002833049336037563,0.5083597883597883,0.4606607212869506,0.603078982597055,0.14425280014506145,0.030136611545962942,76,7,16,2,0.2222222222222222,0.1111111111111111,0.08433734939759036,0.8888888888888888,0.22772277227722773
P6_fixed,42,1,100,18,0.18,0.18579774902303842,0.005797749023038423,0.40577249575551777,0.467002859005861,0.5467479674796748,0.1465065764782526,0.04216654205443936,34,48,8,10,0.1724137931034483,0.5555555555555556,0.5853658536585366,0.4444444444444444,0.56
P6_fixed,42,2,100,18,0.18,0.1731564242597428,-0.0068435757402571795,0.513093828135281,0.45730562264349667,0.6402439024390244,0.14372198158371458,0.021130856698798488,56,26,11,7,0.21212121212121213,0.3888888888888889,0.3170731707317073,0.6111111111111112,0.37
P6_fixed,42,3,100,18,0.18,0.1570649196884642,-0.022935080311535794,0.46875,0.49797761486762726,0.4939024390243901,0.15603336711575932,0.0801906809762131,63,19,15,3,0.13636363636363635,0.16666666666666666,0.23170731707317074,0.8333333333333334,0.34
P6_fixed,42,4,100,18,0.18,0.17559212706681074,-0.004407872933189255,0.506578947368421,0.4815171980513992,0.4820460704607046,0.15076039045690412,0.0235889021984376,58,24,12,6,0.2,0.3333333333333333,0.2926829268292683,0.6666666666666666,0.36
P6_clean,42,0,101,18,0.1782178217821782,0.17646358744061663,-0.001754234341561578,0.4419889502762431,0.46065488320338427,0.5923694779116465,0.14414556168769949,0.017341964068396908,80,3,18,0,0.0,0.0,0.03614457831325301,1.0,0.2079207920792079
P6_clean,42,1,100,18,0.18,0.18626898273176182,0.006268982731761824,0.4737517648568862,0.4725878473816205,0.5257452574525745,0.14872960076749092,0.035399420668857574,53,29,12,6,0.17142857142857143,0.3333333333333333,0.35365853658536583,0.6666666666666666,0.41
P6_clean,42,2,100,18,0.18,0.1670709144862731,-0.012929085513726901,0.5287698412698413,0.4751388327938596,0.5860433604336044,0.14930919809085783,0.034158697357462006,53,29,9,9,0.23684210526315788,0.5,0.35365853658536583,0.5,0.38
P6_clean,42,3,100,18,0.18,0.1741912115268943,-0.005808788473105703,0.5337995337995338,0.4649018492247445,0.5958672086720868,0.145896504175452,0.005808788473105695,62,20,12,6,0.23076923076923078,0.3333333333333333,0.24390243902439024,0.6666666666666666,0.32
P6_clean,42,4,100,18,0.18,0.17472075362143336,-0.005279246378566638,0.43820224719101125,0.4835178992317197,0.486449864498645,0.15157322609187,0.04201610899435604,78,4,18,0,0.0,0.0,0.04878048780487805,1.0,0.22
