phase_key,arm,calibrator,group,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,log_loss_mean,log_loss_std,log_loss_count,macro_f1_mean,macro_f1_std,macro_f1_count,roc_auc_mean,roc_auc_std,roc_auc_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count,n_mean,n_std,n_count
P6_clean,shared,isotonic,arrival_missing,0.14011746878937448,5.2223670011397334e-05,3,0.0023351281986852333,0.0008415537700289992,3,0.44786099986170713,0.00018255240262380192,3,0.5796837661205622,0.00209142949992383,3,0.6460226401972122,0.0009385740351644876,3,0.3512258261001979,0.021024504045885937,3,0.2981108620695181,0.007978875796018681,3,-0.0003731810534571,5.7102698276134725e-05,3,24653.0,0.0,3
P6_clean,shared,isotonic,both_missing,0.14118619232899254,0.00021386261008966772,3,0.009352066265711534,0.0019964440248941874,3,0.45497341488314524,0.0008284636063768778,3,0.510246422025895,0.0011545800438521742,3,0.5726749240127798,0.006851439622553047,3,0.10533076429030182,0.0067666369639388215,3,0.22699621382069898,0.01622796835202729,3,-0.0010174483847421333,0.0015611436257783116,3,3031.0,0.0,3
P6_clean,shared,isotonic,both_observed,0.13980850648510168,0.0001300208149176664,3,0.0019934143093621,0.00019595642757876282,3,0.4489818600158511,0.0009167416725509718,3,0.5752834581319276,0.0010419036631085998,3,0.6425159041440609,0.001406046462938384,3,0.34217281323215065,0.019568979533044636,3,0.2903345205052004,0.005489859871939323,3,3.66027158147539e-05,0.0001709123919955817,3,202507.0,0.0,3
P6_clean,shared,isotonic,departure_missing,0.14042442295971935,0.00020061352853049686,3,0.004196844601904667,0.0021215638530144906,3,0.4489034107411016,0.0012988927208317758,3,0.5746634811755053,0.00027954100087351926,3,0.6422391124615155,0.0027199933255408703,3,0.3381147540983606,0.024824116453058084,3,0.2908205993263279,0.005115915145822737,3,-0.0005918516576959333,0.0003357279991252445,3,24810.0,0.0,3
P6_clean,shared,isotonic,overall,0.1399146766617493,0.00012453723314508896,3,0.0018766610130130001,0.0001352921185451116,3,0.44893708180288777,0.0008602154297612845,3,0.5752480707761677,0.0009947161675390903,3,0.6421199642964663,0.0014224673023644162,3,0.3399259259259259,0.02006545256980951,3,0.2908507484213801,0.005725938321724457,3,-7.66877464048e-05,0.0001787590238330627,3,255001.0,0.0,3
P6_clean,shared,none,arrival_missing,0.14012604630377037,8.37123616140477e-05,3,0.0066077078668786,0.001729701874408273,3,0.44789752527348087,0.0002107190368679236,3,0.5812884025316052,0.0018745218132951397,3,0.646940999133094,0.001032248200860154,3,0.34947464595705796,0.011577273547258295,3,0.3009037199229016,0.0031274101335621914,3,-0.0025801628272436334,0.0003724389519276761,3,24653.0,0.0,3
P6_clean,shared,none,both_missing,0.14106537156672064,0.00020111091857985116,3,0.008982160580789001,0.0013500251694473849,3,0.4544410470661268,0.0008390291720912705,3,0.508515716511042,0.003874805157158843,3,0.5760432135128392,0.008470671918362696,3,0.10019267822736026,0.005780346820809246,3,0.22509576739308676,0.01038771905268898,3,-0.0022980089284077,0.00021017379245495007,3,3031.0,0.0,3
P6_clean,shared,none,both_observed,0.1397889479330583,0.00010095942657957449,3,0.004245456585244966,0.0007153840720013401,3,0.4472970091675501,0.00031515836460404504,3,0.5755066009026044,0.0010120985099622965,3,0.6431701655559642,0.001221239189193342,3,0.3381591106381787,0.00941490589932348,3,0.2911363653376487,0.0023979842482477294,3,-0.0020614273160539332,0.00023928208437452706,3,202507.0,0.0,3
P6_clean,shared,none,departure_missing,0.14047931283122791,0.0001655223603271006,3,0.008680948738488367,0.0018293722332995903,3,0.44870308721770624,0.0005064080086141455,3,0.5758082868203628,0.0008142802305276612,3,0.6428177353184861,0.002998827008647567,3,0.335458409228901,0.009142502439482723,3,0.29297552677673644,0.0028805933634856507,3,-0.0028323202174762,0.00020175542445634897,3,24810.0,0.0,3
P6_clean,shared,none,overall,0.1399038779893733,9.69068980248554e-05,3,0.004588385887189566,0.0008480738834729235,3,0.4475767841443325,0.0003045922518500464,3,0.5756847605700698,0.0010749176024492954,3,0.6428037457317223,0.0013259179039457436,3,0.33625185185185186,0.009403606697966544,3,0.2919772620372345,0.002461075177056199,3,-0.002189392768380367,0.00023926541069433722,3,255001.0,0.0,3
P6_clean,shared,platt,arrival_missing,0.1400935231098038,8.195075838683361e-05,3,0.0053441825906620334,0.0013832251480349182,3,0.44779605803492334,0.0002485707900171077,3,0.5803886799283983,0.002387246129524808,3,0.6469724683650664,0.001079415658701904,3,0.3591442058778742,0.007699758714844816,3,0.29731108987671534,0.003153428261413086,3,-0.00041565796528166666,4.974555604277629e-05,3,24653.0,0.0,3
P6_clean,shared,platt,both_missing,0.14111519318300467,0.0002570492069379291,3,0.0082545415282932,0.0012888378582078118,3,0.45456434546959357,0.0009676390100631808,3,0.5106158296882104,0.006641225479131666,3,0.5755558930492659,0.008365574281097488,3,0.1072575465639049,0.013115335810316096,3,0.22422087302041163,0.011859836855930367,3,-0.0006304053799765333,0.0009968178509427272,3,3031.0,0.0,3
P6_clean,shared,platt,both_observed,0.13977600424032086,0.00011029998010668851,3,0.0031796256861081665,0.00033776531871789785,3,0.44724278010861557,0.0003558931924429195,3,0.575351278491842,0.0012069320465278642,3,0.6431665619565688,0.0012031234345801845,3,0.3479693465132125,0.006683548773137007,3,0.28901656813375315,0.001662629148765443,3,7.321700791432185e-05,0.0001822460816735209,3,202507.0,0.0,3
P6_clean,shared,platt,departure_missing,0.14047261560326116,0.00018423945886941794,3,0.006929768397455266,0.0019891463488286706,3,0.44863764340223566,0.0005961356344408115,3,0.5760659942164857,0.00152794193520706,3,0.64279432879533,0.0029857902135309307,3,0.3469945355191257,0.006024023932296417,3,0.29114548778658395,0.0018163161889274957,3,-0.0007117605398658332,0.0003115323479598136,3,24810.0,0.0,3
P6_clean,shared,platt,overall,0.13989039517325522,0.00010768421420293694,3,0.0034774095346276333,0.00021018387795831118,3,0.4475190071965136,0.0003532076129000029,3,0.5755174162081577,0.0012964314954020215,3,0.6427990222268783,0.0013145689012350815,3,0.34618518518518515,0.006610778080625288,3,0.28974229856067923,0.0016611076878205468,3,-5.878328672106667e-05,0.00018584648897921214,3,255001.0,0.0,3
P6_clean,split,isotonic,arrival_missing,0.14017171363249845,9.886514217824079e-05,3,0.0029317277593940336,0.0008770579935879868,3,0.4479748008500181,0.0003577396466226338,3,0.5796387171597488,0.0026183271113488617,3,0.6460322086462654,0.0018400492210069758,3,0.36401705497182885,0.032708276434316716,3,0.2958932682944517,0.005591304792294228,3,-0.00033472413494843334,8.947376443090143e-05,3,24653.0,0.0,3
P6_clean,split,isotonic,both_missing,0.1412188578913991,0.00020916241001941795,3,0.010883714947266499,0.0010715734578000552,3,0.4550311613781348,0.0006371119560422211,3,0.513578333416196,0.004939887869999876,3,0.5756839872529649,0.006833224089184837,3,0.11689145793192031,0.013115335810316112,3,0.22546365485605158,0.010734170809243628,3,-0.0008198351368516,0.0020695505037697944,3,3031.0,0.0,3
P6_clean,split,isotonic,both_observed,0.13986155382401383,0.00014748595055336694,3,0.002491450519413033,0.00031626435517925755,3,0.4500745929974121,0.0010668375693561423,3,0.5749323808875562,0.0014150416610589495,3,0.6420486097680529,0.0014679376119131897,3,0.3543819364714887,0.027663403829171842,3,0.28790674980243064,0.005584893200389764,3,5.972986141614811e-05,0.00039810358616504583,3,202507.0,0.0,3
P6_clean,split,isotonic,departure_missing,0.1404662146919286,0.00022711546883036828,3,0.0044558181279339,0.002739937172009597,3,0.4486159423754554,0.0007778803585220796,3,0.5757563355387106,0.0022013934070694986,3,0.6418039934851584,0.0029656828689642143,3,0.35306618093503345,0.031184213348590988,3,0.2902863605042224,0.005398950366220455,3,-0.000543172619283613,0.0005670851751237402,3,24810.0,0.0,3
P6_clean,split,isotonic,overall,0.13996650241056754,0.00014587330745046998,3,0.0023518561475536666,0.000178206043756116,3,0.4497885865151689,0.0008874863276708495,3,0.5750901363413164,0.0015060746691744605,3,0.6417231842987696,0.0015271059927509988,3,0.35245185185185185,0.02830710187322085,3,0.28861430786237025,0.005471147975930562,3,-4.7518527524666644e-05,0.00040064233925460964,3,255001.0,0.0,3
P6_clean,split,none,arrival_missing,0.14014230838612415,7.826495485965357e-05,3,0.006004609100913,0.0015268301632494579,3,0.447953209926252,0.00020911188789045495,3,0.580676299598179,0.002760219941816369,3,0.6467219124430582,0.0012901229142477624,3,0.34719049794426676,0.0195117586745109,3,0.30033633406628163,0.0029028635653744967,3,-0.0026232731939395335,0.0003590353581374796,3,24653.0,0.0,3
