iata,iem_tzname,mwgg_tz
IMT,America/Menominee,America/Chicago
KTN,America/Juneau,America/Sitka
PSG,America/Juneau,America/Sitka
SDF,America/New_York,America/Kentucky/Louisville
SIT,America/Juneau,America/Sitka
STT,Atlantic/Bermuda,America/St_Thomas
STX,Atlantic/Bermuda,America/St_Thomas
WRG,America/Juneau,America/Sitka
