phase_key,arm,calibrator,group,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,log_loss_mean,log_loss_std,log_loss_count,macro_f1_mean,macro_f1_std,macro_f1_count,roc_auc_mean,roc_auc_std,roc_auc_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count
P6_clean,shared,isotonic,arrival_missing,-0.004621206893123425,,1,-0.04912044067387661,,1,-0.020647706994578408,,1,0.06732238349885417,,1,0.12019230769230771,,1,0.0,,1,0.07936507936507942,,1,0.001978701305064501,,1
P6_clean,shared,isotonic,both_missing,0.006617028879950609,,1,0.04486959539673291,,1,-0.017806938453246657,,1,-0.0892857142857143,,1,0.0,,1,0.0,,1,0.0,,1,0.0232431258604085,,1
P6_clean,shared,isotonic,both_observed,0.0019958289173392096,,1,0.013981545573653702,,1,0.32160834956355355,,1,0.002737579104208243,,1,0.01778346261759367,,1,0.0684931506849315,,1,0.005216426193118795,,1,0.0113230543911985,,1
P6_clean,shared,isotonic,departure_missing,0.008640924170148112,,1,0.0454838473088828,,1,0.8489039071396591,,1,0.0,,1,0.03125,,1,0.0,,1,0.0,,1,0.007075700349429099,,1
P6_clean,shared,isotonic,overall,0.0020047900108420003,,1,0.009308728197471902,,1,0.3324225081165126,,1,0.00842848591927392,,1,0.027669640443363064,,1,0.0555555555555555,,1,0.0132689062739684,,1,0.0101923801086834,,1
P6_clean,shared,platt,arrival_missing,-0.0023208039161368155,,1,-0.023816146955062005,,1,-0.0039647447828873306,,1,0.10531897926634776,,1,0.0,,1,0.125,,1,0.1298701298701299,,1,-0.0009300576190269996,,1
P6_clean,shared,platt,both_missing,-0.01584820404591769,,1,-0.1651698027527998,,1,-0.0755315435719578,,1,-0.0892857142857143,,1,0.0,,1,0.0,,1,0.0,,1,0.0138213627281627,,1
P6_clean,shared,platt,both_observed,-0.0005367155257202938,,1,-0.0155425231697706,,1,-0.0006375629161237684,,1,-0.026026984816194865,,1,-0.015679154976068643,,1,0.0410958904109589,,1,-0.029156010230178997,,1,0.0087160316238687,,1
P6_clean,shared,platt,departure_missing,-0.0048733556295743885,,1,-0.027338801576150998,,1,-0.02010566537342906,,1,0.03575027270139125,,1,0.02083333333333337,,1,0.125,,1,0.05555555555555561,,1,0.0170458018014174,,1
P6_clean,shared,platt,overall,-0.0012377569658803822,,1,-0.0180332877500834,,1,-0.0034069121359610044,,1,-0.009975139256082843,,1,-0.005677210056772131,,1,0.0555555555555555,,1,-0.008332185649359586,,1,0.0085936171506502,,1
P6_clean,split,isotonic,arrival_missing,-0.0026277409913293137,,1,-0.032667862438468406,,1,-0.01525427216852454,,1,0.05437338285950133,,1,0.07211538461538469,,1,-0.25,,1,0.1568627450980392,,1,0.012290478357624299,,1
P6_clean,split,isotonic,both_missing,0.007755490080398303,,1,0.04942458874244959,,1,-0.003965814185585281,,1,0.0892857142857143,,1,0.0,,1,0.0,,1,0.0,,1,0.0251837401211579,,1
P6_clean,split,isotonic,both_observed,0.0010141565337548064,,1,0.0362572546660504,,1,0.4800508549846827,,1,-0.02425394347792431,,1,0.028717610166694274,,1,-0.1917808219178082,,1,-0.01061249241964829,,1,0.0178380508960629,,1
P6_clean,split,isotonic,departure_missing,0.00758071056773621,,1,0.0873503008002269,,1,0.7665767367954668,,1,0.029704641350211003,,1,0.010416666666666574,,1,0.0,,1,0.0,,1,0.0126747976531939,,1
P6_clean,split,isotonic,overall,0.0013164836027157178,,1,0.0380262011305255,,1,0.4539185485527913,,1,-0.013413796479621043,,1,0.03081914030819133,,1,-0.1777777777777778,,1,0.006781097690188587,,1,0.0169374708444314,,1
P6_clean,split,platt,arrival_missing,0.0012371520879889963,,1,-0.013543568911742902,,1,0.008631407510850397,,1,0.08890922959572856,,1,-0.09615384615384609,,1,0.0,,1,0.0962566844919786,,1,0.0060549749808684016,,1
P6_clean,split,platt,both_missing,-0.030278094861240695,,1,-0.1923603850101308,,1,-0.12610276846537827,,1,0.0,,1,0.25,,1,0.0,,1,0.0,,1,0.0288139664670585,,1
P6_clean,split,platt,both_observed,-0.0003151196743035045,,1,-0.0092660528721679,,1,0.0004930287044658255,,1,-0.04264030350017073,,1,-0.014317544149199612,,1,0.0410958904109589,,1,-0.04002425712553059,,1,0.014992501921471401,,1
P6_clean,split,platt,departure_missing,-0.006520962776732614,,1,-0.0059732137730407996,,1,-0.026006464374782656,,1,0.11276442971554829,,1,0.03125,,1,0.25,,1,0.2222222222222222,,1,0.0303305129671406,,1
P6_clean,split,platt,overall,-0.0010135532064668995,,1,-0.012581520878293699,,1,-0.0023342225479015544,,1,-0.01976915291104303,,1,-0.007515544741822144,,1,0.05555555555555558,,1,-0.014802803640548201,,1,0.0156390409285154,,1
P6_fixed,shared,isotonic,arrival_missing,0.019950806415517774,,1,0.0171919683880689,,1,0.7570305200006922,,1,-0.013993048724506463,,1,0.0689102564102565,,1,0.0,,1,-0.0098039215686275,,1,0.0360388257924249,,1
P6_fixed,shared,isotonic,both_missing,0.013218281625372308,,1,0.18365199291179748,,1,0.04324937638508097,,1,-0.06944444444444442,,1,0.0,,1,0.0,,1,,,0,0.004040314780510198,,1
P6_fixed,shared,isotonic,both_observed,0.002174374607664592,,1,0.004973698099688201,,1,0.16374494189403827,,1,0.01507306334615105,,1,0.02238405677504529,,1,0.0547945205479452,,1,0.02070043777360861,,1,0.0142605999361668,,1
P6_fixed,shared,isotonic,departure_missing,0.0010111881085023977,,1,0.0587564994826502,,1,0.0010540120524281105,,1,0.04856390317320963,,1,-0.04166666666666674,,1,0.125,,1,0.0641025641025641,,1,0.0144346493448413,,1
P6_fixed,shared,isotonic,overall,0.003850086432204608,,1,0.011414493594896304,,1,0.20391169524820402,,1,0.013618322666169524,,1,0.018221140848878048,,1,0.05555555555555547,,1,0.019493177387914284,,1,0.016216953955024,,1
P6_fixed,shared,platt,arrival_missing,-0.0026144414729531162,,1,-0.032992958369221406,,1,-0.007863133794240973,,1,0.009573051312181724,,1,-0.0032051282051281937,,1,-0.125,,1,-0.0098039215686275,,1,0.004139868384933701,,1
P6_fixed,shared,platt,both_missing,-0.005734076009760503,,1,-0.0106109918893866,,1,-0.01819359986041641,,1,0.0,,1,0.25,,1,0.0,,1,,,0,0.0106109918893866,,1
P6_fixed,shared,platt,both_observed,-0.0009343574285289868,,1,-0.039141677134691494,,1,-0.003047128632991114,,1,0.013491422948204324,,1,0.00020630467073778913,,1,0.0410958904109589,,1,0.0177325395301198,,1,0.0098733838626281,,1
