reference,variant,macro_f1_nested_delta_mean,macro_f1_nested_delta_std,macro_f1_nested_deltas,log_loss_delta_mean,log_loss_delta_std,log_loss_deltas,roc_auc_delta_mean,roc_auc_delta_std,roc_auc_deltas
P4,P4_clean,-0.0003746666666666713,0.0005729549138748738,"[-0.0010360000000000369, -5.999999999994898e-05, -2.8000000000028002e-05]",0.00019999999999999649,0.00018888885620917535,"[0.00041800000000002946, 8.500000000000174e-05, 9.699999999995823e-05]",-0.0005979999999999874,0.0008757556736898843,"[-0.0016059999999999963, -0.000164000000000053, -2.399999999991298e-05]"
P4,P4_impute,-0.0005803333333333679,0.00040272240232367817,"[-0.0010410000000000696, -0.0004049999999999887, -0.0002950000000000452]",0.00011966666666666607,1.2662279942168356e-05,"[0.00013100000000004774, 0.00010599999999999499, 0.00012199999999995548]",-0.0003740000000000225,0.00012619429464125255,"[-0.0005190000000000472, -0.00028900000000009474, -0.00031399999999992545]"
P4,P4_ratio,-0.0006166666666666728,0.001234640163502454,"[-0.0015770000000000506, 0.0007759999999999989, -0.0010489999999999666]",0.00014166666666665106,0.00018512248197702388,"[0.00024299999999999322, -7.20000000000165e-05, 0.00025399999999997647]",-0.0004386666666666983,0.0009172645928702114,"[-0.0010410000000000696, 0.0006169999999999787, -0.0008920000000000039]"
P4,P4_missing,-0.0006573333333333246,0.0009692916657711042,"[-0.0008200000000000429, -0.001534999999999953, 0.0003830000000000222]",3.899999999999274e-05,0.00020032972819831085,"[-2.2999999999995246e-05, 0.0002630000000000132, -0.00012300000000003974]",-1.7666666666693587e-05,0.0007218707178805921,"[7.899999999994023e-05, -0.0007830000000000892, 0.0006510000000000682]"
P6_fixed,P6_clean,-0.00037666666666665477,0.0015838804668703587,"[0.00039000000000000146, 0.0006780000000000674, -0.0021980000000000333]",-1.9666666666677084e-05,0.00036333226299536253,"[-0.00010900000000002574, -0.00032999999999999696, 0.00037999999999999146]",4.666666666667633e-05,0.0013819986734195239,"[0.0004009999999999847, 0.0012170000000000236, -0.0014779999999999793]"
P6_fixed,P6_fixed_impute,-0.00017366666666670158,0.00031057580931770763,"[-0.0003970000000000917, 0.00018099999999998673, -0.0003049999999999997]",8.366666666664857e-05,7.769384359995976e-05,"[0.00016800000000000148, 1.4999999999987246e-05, 6.799999999995698e-05]",-0.0002709999999999842,0.00021596527498651716,"[-0.0004709999999999992, -4.199999999998649e-05, -0.00029999999999996696]"
P6_fixed,P6_fixed_ratio,-0.001003333333333356,0.0006103116690129469,"[-0.0016810000000000436, -0.0004969999999999697, -0.0008320000000000549]",6.766666666665107e-05,0.00041794896020130054,"[0.0004270000000000107, -0.0003910000000000302, 0.00016699999999997273]",-0.0003466666666666433,0.0013860769579404177,"[-0.0016100000000000003, 0.0011360000000000259, -0.0005659999999999554]"
P6_fixed,P6_fixed_missing,-0.0005103333333333534,0.0009572002576960683,"[-0.0002790000000000292, 0.00031000000000003247, -0.0015620000000000633]",-3.0333333333335915e-05,0.0002421163632085496,"[-0.00015999999999999348, -0.00018000000000001348, 0.0002489999999999992]",7.333333333322163e-06,0.0008984822387411332,"[0.0005109999999999282, 0.0005410000000000137, -0.0010299999999999754]"
