role,requests,matched,not_collectible_mapping,unresolved_no_prediction_at,unmatched_stale_or_no_report,match_rate_of_all_selected
origin,300,269,29,0,2,0.8966666666666666
destination,300,271,29,0,0,0.9033333333333333
