phase_key,seed,dimension,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,42,overall,all,255001,45000,0.1764698961964855,0.17433356565460503,-0.0021363305418804768,0.576536114963472,0.44733370206084616,0.6439163612448406,0.13983821652460954,0.00566599414126189,172482.0,37519.0,29527.0,15473.0,0.29198746980676327,0.34384444444444445,0.17866105399498097,0.6561555555555556,0.26292445911976814
P6_fixed,42,raw_missing__Month,observed,255001,45000,0.1764698961964855,0.17433356565460503,-0.0021363305418804768,0.576536114963472,0.44733370206084616,0.6439163612448406,0.13983821652460954,0.00566599414126189,172482.0,37519.0,29527.0,15473.0,0.29198746980676327,0.34384444444444445,0.17866105399498097,0.6561555555555556,0.26292445911976814
P6_fixed,42,raw_missing__Month,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Day_of_Month,observed,255001,45000,0.1764698961964855,0.17433356565460503,-0.0021363305418804768,0.576536114963472,0.44733370206084616,0.6439163612448406,0.13983821652460954,0.00566599414126189,172482.0,37519.0,29527.0,15473.0,0.29198746980676327,0.34384444444444445,0.17866105399498097,0.6561555555555556,0.26292445911976814
P6_fixed,42,raw_missing__Day_of_Month,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Estimated_Departure_Time,observed,227160,40089,0.17647913365029055,0.17449360708931405,-0.0019855265609765027,0.5773202789532152,0.4470935258468591,0.6446260857725478,0.13975000805647014,0.0054905729780823625,153386.0,33685.0,26149.0,13940.0,0.2927034120734908,0.3477263089625583,0.18006532279188114,0.6522736910374417,0.26340024652227506
P6_fixed,42,raw_missing__Estimated_Departure_Time,missing,27841,4911,0.1763945260586904,0.1730277572314698,-0.0033667688272206175,0.5697332164248139,0.4492933453484193,0.638389908180706,0.14055792614791832,0.008974326089350466,19096.0,3834.0,3378.0,1533.0,0.2856344326439352,0.3121563836285889,0.16720453554295683,0.6878436163714111,0.25904241945332424
P6_fixed,42,raw_missing__Estimated_Arrival_Time,observed,227317,40103,0.17641883361121252,0.17436205387199474,-0.002056779739217779,0.5767363620337274,0.4471277285897219,0.6445861480357783,0.13977803928123425,0.005710974708031494,153499.0,33715.0,26210.0,13893.0,0.2918207024029575,0.3464329351918809,0.18008802760477316,0.6535670648081191,0.26361864708754734
P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing,27684,4897,0.17688917786447045,0.17409964511883086,-0.002789532745639589,0.5747120007242879,0.4490249775822868,0.6382577466548602,0.1403323398605559,0.005349278760785191,18983.0,3804.0,3317.0,1580.0,0.2934621099554235,0.3226465182764958,0.1669372888050204,0.6773534817235042,0.25722438953908394
P6_fixed,42,raw_missing__Cancelled,observed,255001,45000,0.1764698961964855,0.17433356565460503,-0.0021363305418804768,0.576536114963472,0.44733370206084616,0.6439163612448406,0.13983821652460954,0.00566599414126189,172482.0,37519.0,29527.0,15473.0,0.29198746980676327,0.34384444444444445,0.17866105399498097,0.6561555555555556,0.26292445911976814
P6_fixed,42,raw_missing__Cancelled,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Diverted,observed,255001,45000,0.1764698961964855,0.17433356565460503,-0.0021363305418804768,0.576536114963472,0.44733370206084616,0.6439163612448406,0.13983821652460954,0.00566599414126189,172482.0,37519.0,29527.0,15473.0,0.29198746980676327,0.34384444444444445,0.17866105399498097,0.6561555555555556,0.26292445911976814
P6_fixed,42,raw_missing__Diverted,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Origin_Airport,observed,255001,45000,0.1764698961964855,0.17433356565460503,-0.0021363305418804768,0.576536114963472,0.44733370206084616,0.6439163612448406,0.13983821652460954,0.00566599414126189,172482.0,37519.0,29527.0,15473.0,0.29198746980676327,0.34384444444444445,0.17866105399498097,0.6561555555555556,0.26292445911976814
P6_fixed,42,raw_missing__Origin_Airport,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Origin_Airport_ID,observed,255001,45000,0.1764698961964855,0.17433356565460503,-0.0021363305418804768,0.576536114963472,0.44733370206084616,0.6439163612448406,0.13983821652460954,0.00566599414126189,172482.0,37519.0,29527.0,15473.0,0.29198746980676327,0.34384444444444445,0.17866105399498097,0.6561555555555556,0.26292445911976814
P6_fixed,42,raw_missing__Origin_Airport_ID,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Origin_State,observed,227145,40097,0.17652600761628034,0.1743190295165225,-0.002206978099757839,0.5760308524880677,0.4475784414353621,0.6430734242690807,0.13991737842590116,0.005106715697365392,153570.0,33478.0,26339.0,13758.0,0.2912609027013295,0.34311793899793,0.17898079637312347,0.65688206100207,0.2633427986528429
P6_fixed,42,raw_missing__Origin_State,missing,27856,4903,0.1760123492245836,0.1744520970691928,-0.0015602521553907955,0.5806691628604574,0.44533803415359463,0.6508299390966966,0.13919270998853525,0.011156187884378783,18912.0,4041.0,3188.0,1715.0,0.29794996525364836,0.349785845400775,0.17605541759247156,0.6502141545992249,0.25951321079839174
