latency_minutes,role,rows_fixed_300,collectible_rows,matched_rows,match_rate_of_fixed_300,match_rate_of_collectible
0,origin,300,271,269,0.8966666666666666,0.992619926199262
0,destination,300,271,271,0.9033333333333333,1.0
10,origin,300,271,269,0.8966666666666666,0.992619926199262
10,destination,300,271,271,0.9033333333333333,1.0
30,origin,300,271,268,0.8933333333333333,0.988929889298893
30,destination,300,271,271,0.9033333333333333,1.0
60,origin,300,271,154,0.5133333333333333,0.5682656826568265
60,destination,300,271,158,0.5266666666666666,0.5830258302583026
