phase_key,seed,arm,calibrator,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,42,shared,none,overall,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287,124,62,28,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,shared,none,both_observed,405,73,0.18024691358024691,0.1739472728274275,-0.006299640752819413,0.49519710164195974,0.4738765300897864,0.5399612147219013,0.1486997641725705,0.045783486416482604,232,100,50,23,0.18699186991869918,0.3150684931506849,0.30120481927710846,0.684931506849315,0.37037037037037035
P6_fixed,42,shared,none,departure_missing,44,8,0.18181818181818182,0.16429580239101027,-0.017522379427171553,0.48235294117647054,0.467568436266581,0.6111111111111112,0.14660959254908135,0.0497670216617625,26,10,6,2,0.16666666666666666,0.25,0.2777777777777778,0.75,0.36363636363636365
P6_fixed,42,shared,none,arrival_missing,47,8,0.1702127659574468,0.177635547858523,0.007422781901076203,0.48231884057971014,0.46478102177915004,0.5,0.14416007651076307,0.04455560865523135,25,14,5,3,0.17647058823529413,0.375,0.358974358974359,0.625,0.40425531914893614
P6_fixed,42,shared,none,both_missing,5,1,0.2,0.16969049424053265,-0.030309505759467364,0.4444444444444444,0.5138696802214615,0.25,0.16440284401155503,0.030309505759467364,4,0,1,0,,0.0,0.0,1.0,0.2
P6_fixed,42,shared,platt,overall,501,90,0.17964071856287425,0.18334807858232155,0.0037073600194472978,0.5095582735712085,0.4696152866545533,0.5414841849148418,0.1472354596343371,0.005922864213652285,293,118,60,30,0.20270270270270271,0.3333333333333333,0.2871046228710462,0.6666666666666666,0.35528942115768464
P6_fixed,42,shared,platt,both_observed,405,73,0.18024691358024691,0.1838206566900557,0.0035737431098087913,0.508688524590164,0.47082940145679536,0.5401675193926391,0.14776540674404157,0.00664180928179112,231,101,47,26,0.2047244094488189,0.3561643835616438,0.3042168674698795,0.6438356164383562,0.3654320987654321
P6_fixed,42,shared,platt,departure_missing,44,8,0.18181818181818182,0.18102430491314678,-0.0007938769050350458,0.5260977630488816,0.4690415883371167,0.5868055555555556,0.14713606497000023,0.015880419622642715,29,7,6,2,0.2222222222222222,0.25,0.19444444444444445,0.75,0.29545454545454547
P6_fixed,42,shared,platt,arrival_missing,47,8,0.1702127659574468,0.18177541624345678,0.011562650286009973,0.49189189189189186,0.45691788798490907,0.4967948717948718,0.14154563503780995,0.01156265028600995,29,10,6,2,0.16666666666666666,0.25,0.2564102564102564,0.75,0.3404255319148936
P6_fixed,42,shared,platt,both_missing,5,1,0.2,0.1803014861299193,-0.019698513870080703,0.4444444444444444,0.4956760803610451,0.5,0.1586687680017945,0.019698513870080703,4,0,1,0,,0.0,0.0,1.0,0.2
P6_fixed,42,shared,isotonic,overall,501,90,0.17964071856287425,0.18962011567331924,0.009979397110444987,0.5069523809523809,0.676780083086169,0.5604893214382265,0.1520971211190594,0.05083863722549739,282,129,57,33,0.2037037037037037,0.36666666666666664,0.31386861313868614,0.6333333333333333,0.3712574850299401
P6_fixed,42,shared,isotonic,both_observed,405,73,0.18024691358024691,0.18820787276359438,0.007960959183347466,0.5102701649881107,0.6376214719838247,0.5623452714969466,0.15087413878023517,0.0507571845161708,229,103,46,27,0.2076923076923077,0.3698630136986301,0.3102409638554217,0.6301369863013698,0.36790123456790125
P6_fixed,42,shared,isotonic,departure_missing,44,8,0.18181818181818182,0.1787304517358516,-0.0030877300823302367,0.5309168443496801,0.4686224483190091,0.5694444444444444,0.14762078065758374,0.10852352114441276,26,10,5,3,0.23076923076923078,0.375,0.2777777777777778,0.625,0.3409090909090909
P6_fixed,42,shared,isotonic,arrival_missing,47,8,0.1702127659574468,0.21367437365094794,0.04346160769350113,0.4683257918552036,1.2218115417798419,0.5689102564102565,0.1641108829262808,0.06174757704330028,24,15,5,3,0.16666666666666666,0.375,0.38461538461538464,0.625,0.425531914893617
P6_fixed,42,shared,isotonic,both_missing,5,1,0.2,0.17373080902104285,-0.026269190978957163,0.375,0.5571190566065425,0.25,0.1776211256369273,0.21396149867126485,3,1,1,0,0.0,0.0,0.25,1.0,0.4
P6_fixed,42,split,none,overall,501,90,0.17964071856287425,0.17311901462160417,-0.0065217039412700795,0.5080196399345336,0.47020510256903736,0.5606380102730467,0.14772034189201838,0.03549861899862874,295,116,61,29,0.2,0.32222222222222224,0.2822384428223844,0.6777777777777778,0.3532934131736527
P6_fixed,42,split,none,both_observed,405,73,0.18024691358024691,0.17400860162325307,-0.006238311956993842,0.5117996604414261,0.46972741534777573,0.5717115035484404,0.14762810608900317,0.03928722771962041,239,93,49,24,0.20512820512820512,0.3287671232876712,0.28012048192771083,0.6712328767123288,0.3506172839506173
P6_fixed,42,split,none,departure_missing,44,8,0.18181818181818182,0.16173812221697628,-0.02008005960120554,0.4965675057208238,0.47214256566053214,0.5451388888888888,0.14781971797333726,0.04807364328729502,27,9,6,2,0.18181818181818182,0.25,0.25,0.75,0.3409090909090909
P6_fixed,42,split,none,arrival_missing,47,8,0.1702127659574468,0.17862264430751346,0.008409878350066652,0.48231884057971014,0.46517875549280757,0.4935897435897436,0.14595469141869424,0.07598978033991835,25,14,5,3,0.17647058823529413,0.375,0.358974358974359,0.625,0.40425531914893614
P6_fixed,42,split,none,both_missing,5,1,0.2,0.14948020160122363,-0.05051979839877638,0.4444444444444444,0.5390957548026328,0.25,0.17091404686989037,0.08424377329206256,4,0,1,0,,0.0,0.0,1.0,0.2
