bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Cancelled,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Cancelled,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Cancelled,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Cancelled,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Cancelled,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Cancelled,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Cancelled,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Cancelled,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Cancelled,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Cancelled,observed
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Diverted,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Diverted,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Diverted,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Diverted,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Diverted,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Diverted,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Diverted,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Diverted,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Diverted,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Diverted,observed
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Origin_Airport,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Origin_Airport,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Origin_Airport,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Origin_Airport,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Origin_Airport,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Origin_Airport,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Origin_Airport,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Origin_Airport,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Origin_Airport,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Origin_Airport,observed
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
