latency_minutes,role,eligible_rows,matched_rows,match_rate_of_eligible,median_age_minutes,max_age_minutes
0,origin,268,266,0.9925373134328358,27.0,59.0
0,destination,268,268,1.0,24.5,59.0
10,origin,268,266,0.9925373134328358,37.0,69.0
10,destination,268,268,1.0,38.0,69.0
30,origin,268,265,0.9888059701492538,57.0,89.0
30,destination,268,268,1.0,58.0,89.0
60,origin,268,150,0.5597014925373134,71.0,90.0
60,destination,268,157,0.585820895522388,71.0,90.0
