phase_key,arm,calibrator,group,macro_f1_mean,macro_f1_std,macro_f1_count,log_loss_mean,log_loss_std,log_loss_count,roc_auc_mean,roc_auc_std,roc_auc_count,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,fnr_mean,fnr_std,fnr_count
P6_clean,shared,isotonic,arrival_missing,0.5820975491566361,,1,0.44765402490979683,,1,0.6470115401579133,,1,0.14005916849252373,,1,0.002329648234707562,,1,-0.0003096710600663244,,1,0.30716868751329507,,1,0.32983097304705344,,1,0.6701690269529466,,1
P6_clean,shared,isotonic,both_missing,0.5115758615666441,,1,0.4558917620763854,,1,0.5655704257329749,,1,0.1414314088615398,,1,0.011638334576827497,,1,-0.0015212660961293478,,1,0.24519230769230768,,1,0.09826589595375723,,1,0.9017341040462428,,1
P6_clean,shared,isotonic,both_observed,0.5761397626466538,,1,0.4480318063588453,,1,0.6441352142755368,,1,0.13965892216218756,,1,0.0017813587353693876,,1,-9.526501530041087e-05,,1,0.2959907180611061,,1,0.3214695752009185,,1,0.6785304247990815,,1
P6_clean,shared,isotonic,departure_missing,0.5746040113543005,,1,0.44765525059802996,,1,0.6452946264599917,,1,0.14021079563161265,,1,0.0038773440284943198,,1,-0.0009568250367342768,,1,0.29633644049425534,,1,0.31124772313296906,,1,0.688752276867031,,1
P6_clean,shared,isotonic,overall,0.5761653261089772,,1,0.4480520718922772,,1,0.6437520884821183,,1,0.1397723792103715,,1,0.001933985256670339,,1,-0.00021676754128810427,,1,0.2968927898648229,,1,0.3187111111111111,,1,0.6812888888888889,,1
P6_clean,shared,none,arrival_missing,0.5832856485250657,,1,0.4477276896563524,,1,0.6481134796277093,,1,0.14007910393763193,,1,0.0077634513828043605,,1,-0.0022458312121862722,,1,0.3043219666931007,,1,0.3506167199634536,,1,0.6493832800365463,,1
P6_clean,shared,none,both_missing,0.5128892349897619,,1,0.45505738413408264,,1,0.5704080912582994,,1,0.1412345234232666,,1,0.007610650121778101,,1,-0.002266524009226528,,1,0.23706896551724138,,1,0.10597302504816955,,1,0.8940269749518305,,1
P6_clean,shared,none,both_observed,0.5766715141840453,,1,0.44693619047257505,,1,0.644563452011498,,1,0.1396725491920005,,1,0.005025414655583837,,1,-0.0018483599087558145,,1,0.29276751523325545,,1,0.3403993167371398,,1,0.6596006832628601,,1
P6_clean,shared,none,departure_missing,0.5766922837248574,,1,0.4481267815330699,,1,0.6461279945852983,,1,0.1403148304684514,,1,0.009486281128838106,,1,-0.0028028373468328704,,1,0.29494664787598146,,1,0.33356102003642984,,1,0.6664389799635702,,1
P6_clean,shared,none,overall,0.5769259579486619,,1,0.4472250784831184,,1,0.6443165863231339,,1,0.1397929100396355,,1,0.00552735498920834,,1,-0.001984621729967051,,1,0.2938528707209644,,1,0.3380222222222222,,1,0.6619777777777778,,1
P6_clean,shared,platt,arrival_missing,0.5831232494570862,,1,0.44752143078319645,,1,0.6481803648891244,,1,0.1400203864913711,,1,0.004619684960791706,,1,-0.00041764186491091704,,1,0.3007293809612867,,1,0.3672910004568296,,1,0.6327089995431704,,1
P6_clean,shared,platt,both_missing,0.5152989374269528,,1,0.45531156657180993,,1,0.5699302308456979,,1,0.14133939415507402,,1,0.008607654754845477,,1,-0.0013615159663298015,,1,0.23106060606060605,,1,0.11753371868978806,,1,0.882466281310212,,1
P6_clean,shared,platt,both_observed,0.5765086799500642,,1,0.4468360046906907,,1,0.6445391973039865,,1,0.13964879990146128,,1,0.0028183571529862292,,1,-5.670752920095001e-05,,1,0.28981800744411207,,1,0.35540869760017924,,1,0.6445913023998208,,1
P6_clean,shared,platt,departure_missing,0.5776643744462603,,1,0.4479532495459094,,1,0.6460961576993478,,1,0.14028497047918329,,1,0.007266186540208181,,1,-0.0010562154714574001,,1,0.2932016710976073,,1,0.35154826958105645,,1,0.6484517304189436,,1
P6_clean,shared,platt,overall,0.576887463263162,,1,0.4471117137364521,,1,0.6442979093750347,,1,0.13976671437009877,,1,0.0033152810104969525,,1,-0.00020435707017757432,,1,0.29092738247667826,,1,0.35344444444444445,,1,0.6465555555555556,,1
