attribute,groups,pearson_r,observed_rate_range,mean_probability_range
Month,12,0.8477855356722371,0.08060854972619677,0.02432110161888984
Airline,24,0.9612232482683722,0.16695251638652286,0.11952663548109341
Origin_Airport,39,0.988070629008375,0.1757191888236938,0.12301773185178023
Carrier_Code(IATA),11,0.972668718609376,0.1627011143452149,0.11530492163166524
