bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,arm,calibrator
8,0.8,0.9,0,,,P6_clean,42,shared,isotonic
9,0.9,1.0,0,,,P6_clean,42,shared,isotonic
0,0.0,0.1,26,0.08255349509493855,0.11538461538461539,P6_clean,42,split,none
1,0.1,0.2,330,0.15389199513613913,0.17272727272727273,P6_clean,42,split,none
2,0.2,0.3,131,0.2296960393347041,0.20610687022900764,P6_clean,42,split,none
3,0.3,0.4,12,0.3469531230406373,0.25,P6_clean,42,split,none
4,0.4,0.5,2,0.4318203357051701,0.0,P6_clean,42,split,none
5,0.5,0.6,0,,,P6_clean,42,split,none
6,0.6,0.7,0,,,P6_clean,42,split,none
7,0.7,0.8,0,,,P6_clean,42,split,none
8,0.8,0.9,0,,,P6_clean,42,split,none
9,0.9,1.0,0,,,P6_clean,42,split,none
0,0.0,0.1,0,,,P6_clean,42,split,platt
1,0.1,0.2,341,0.1779084802356269,0.16129032258064516,P6_clean,42,split,platt
2,0.2,0.3,160,0.22010235195610006,0.21875,P6_clean,42,split,platt
3,0.3,0.4,0,,,P6_clean,42,split,platt
4,0.4,0.5,0,,,P6_clean,42,split,platt
5,0.5,0.6,0,,,P6_clean,42,split,platt
6,0.6,0.7,0,,,P6_clean,42,split,platt
7,0.7,0.8,0,,,P6_clean,42,split,platt
8,0.8,0.9,0,,,P6_clean,42,split,platt
9,0.9,1.0,0,,,P6_clean,42,split,platt
0,0.0,0.1,99,0.00652394864905312,0.08080808080808081,P6_clean,42,split,isotonic
1,0.1,0.2,53,0.11324813989568872,0.20754716981132076,P6_clean,42,split,isotonic
2,0.2,0.3,258,0.2351889817872307,0.18992248062015504,P6_clean,42,split,isotonic
3,0.3,0.4,86,0.31281513139595424,0.2441860465116279,P6_clean,42,split,isotonic
4,0.4,0.5,3,0.4349335097711225,0.3333333333333333,P6_clean,42,split,isotonic
5,0.5,0.6,2,0.5,0.0,P6_clean,42,split,isotonic
6,0.6,0.7,0,,,P6_clean,42,split,isotonic
7,0.7,0.8,0,,,P6_clean,42,split,isotonic
8,0.8,0.9,0,,,P6_clean,42,split,isotonic
9,0.9,1.0,0,,,P6_clean,42,split,isotonic
