phase_key,arm,calibrator,group,macro_f1_mean,macro_f1_std,macro_f1_count,log_loss_mean,log_loss_std,log_loss_count,roc_auc_mean,roc_auc_std,roc_auc_count,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,fnr_mean,fnr_std,fnr_count
P6_clean,shared,isotonic,arrival_missing,0.5796837661205622,0.00209142949992383,3,0.44786099986170713,0.00018255240262381766,3,0.6460226401972122,0.0009385740351644876,3,0.14011746878937448,5.222367001139523e-05,3,0.0023351281986852797,0.0008415537700289948,3,-0.0003731810534571556,5.710269827616282e-05,3,0.29811086206951815,0.007978875796018681,3,0.3512258261001979,0.021024504045885906,3,0.6487741738998021,0.021024504045885864,3
P6_clean,shared,isotonic,both_missing,0.510246422025895,0.0011545800438521742,3,0.4549734148831453,0.0008284636063768202,3,0.5726749240127798,0.006851439622553047,3,0.14118619232899254,0.00021386261008966772,3,0.009352066265711586,0.001996444024894222,3,-0.0010174483847421405,0.0015611436257783604,3,0.22699621382069898,0.016227968352027347,3,0.10533076429030186,0.006766636963938812,3,0.894669235709698,0.00676663696393885,3
P6_clean,shared,isotonic,both_observed,0.5752834581319276,0.0010419036631085998,3,0.4489818600158511,0.0009167416725509718,3,0.6425159041440609,0.001406046462938384,3,0.1398085064851017,0.0001300208149176202,3,0.0019934143093621637,0.000195956427578727,3,3.660271581479302e-05,0.00017091239199564797,3,0.2903345205052004,0.005489859871939323,3,0.3421728132321507,0.01956897953304464,3,0.6578271867678493,0.019568979533044713,3
P6_clean,shared,isotonic,departure_missing,0.5746634811755053,0.00027954100087351926,3,0.4489034107411017,0.0012988927208317767,3,0.6422391124615155,0.0027199933255408703,3,0.14042442295971938,0.00020061352853048897,3,0.00419684460190472,0.002121563853014471,3,-0.0005918516576960039,0.00033572799912525163,3,0.2908205993263279,0.005115915145822737,3,0.33811475409836067,0.02482411645305812,3,0.6618852459016393,0.02482411645305813,3
P6_clean,shared,isotonic,overall,0.5752480707761677,0.0009947161675390903,3,0.44893708180288777,0.0008602154297612867,3,0.6421199642964663,0.0014224673023644162,3,0.1399146766617494,0.00012453723314514444,3,0.0018766610130130517,0.00013529211854509403,3,-7.668774640480029e-05,0.00017875902383308548,3,0.2908507484213801,0.005725938321724457,3,0.3399259259259259,0.020065452569809513,3,0.6600740740740741,0.020065452569809603,3
P6_clean,shared,none,arrival_missing,0.5812884025316052,0.0018745218132951397,3,0.44789752527348087,0.00021071903686795278,3,0.646940999133094,0.001032248200860154,3,0.14012604630377046,8.371236161406737e-05,3,0.00660770786687867,0.0017297018744082539,3,-0.002580162827243687,0.00037243895192764115,3,0.30090371992290166,0.0031274101335621884,3,0.34947464595705807,0.011577273547258259,3,0.650525354042942,0.011577273547258288,3
P6_clean,shared,none,both_missing,0.508515716511042,0.003874805157158843,3,0.45444104706612687,0.0008390291720913305,3,0.5760432135128392,0.008470671918362696,3,0.14106537156672064,0.00020111091857980513,3,0.008982160580789027,0.0013500251694474124,3,-0.0022980089284077576,0.00021017379245494435,3,0.22509576739308682,0.010387719052689023,3,0.10019267822736029,0.005780346820809246,3,0.8998073217726397,0.005780346820809273,3
P6_clean,shared,none,both_observed,0.5755066009026044,0.0010120985099622965,3,0.4472970091675501,0.00031515836460404504,3,0.6431701655559642,0.001221239189193342,3,0.1397889479330583,0.00010095942657957592,3,0.004245456585245013,0.000715384072001334,3,-0.002061427316053993,0.00023928208437455647,3,0.2911363653376487,0.002397984248247742,3,0.3381591106381787,0.00941490589932348,3,0.6618408893618213,0.009414905899323497,3
P6_clean,shared,none,departure_missing,0.5758082868203628,0.0008142802305276612,3,0.44870308721770624,0.0005064080086141586,3,0.6428177353184861,0.002998827008647567,3,0.14047931283122791,0.00016552236032712098,3,0.008680948738488422,0.0018293722332995692,3,-0.0028323202174762308,0.00020175542445633726,3,0.2929755267767365,0.002880593363485673,3,0.335458409228901,0.009142502439482714,3,0.664541590771099,0.009142502439482657,3
P6_clean,shared,none,overall,0.5756847605700698,0.0010749176024492954,3,0.4475767841443325,0.0003045922518500381,3,0.6428037457317223,0.0013259179039457436,3,0.13990387798937332,9.690689802487389e-05,3,0.004588385887189622,0.0008480738834729213,3,-0.002189392768380418,0.00023926541069434768,3,0.2919772620372345,0.002461075177056199,3,0.33625185185185186,0.009403606697966544,3,0.6637481481481481,0.009403606697966516,3
