phase_key,arm,seed,group,brier,ece_10,log_loss,macro_f1,roc_auc,recall,precision,calibration_bias,calibrator,n
P6_fixed,shared,42,overall,-0.0010115750525176992,-0.0335012794169488,-0.0032531011834116552,0.016224215284997123,-0.000783995674506599,0.0222222222222222,0.018492176386913278,0.0099449168640263,platt,501
P6_fixed,shared,42,both_observed,-0.0009343574285289868,-0.039141677134691494,-0.003047128632991114,0.013491422948204324,0.00020630467073778913,0.0410958904109589,0.0177325395301198,0.0098733838626281,platt,405
P6_fixed,shared,42,departure_missing,0.0005264724209189109,-0.0338866020391198,0.001473152070535666,0.04374482187241108,-0.02430555555555558,0.0,0.05555555555555561,0.0167285025221365,platt,44
P6_fixed,shared,42,arrival_missing,-0.0026144414729531162,-0.032992958369221406,-0.007863133794240973,0.009573051312181724,-0.0032051282051281937,-0.125,-0.0098039215686275,0.004139868384933701,platt,47
P6_fixed,shared,42,both_missing,-0.005734076009760503,-0.0106109918893866,-0.01819359986041641,0.0,0.25,0.0,,0.0106109918893866,platt,5
P6_fixed,split,42,overall,-0.00016564163038010338,-0.015023975422229302,0.0008780077707051803,-0.01198294416339929,-0.05074344417410104,-0.21111111111111108,-0.018181818181818216,0.017472214753783098,platt,501
P6_fixed,split,42,both_observed,3.642685949281632e-05,-0.0283595452453679,0.001346575763776725,-0.023260773670553125,-0.04736755240138646,-0.2191780821917808,-0.04186289900575618,0.016530311263619202,platt,405
P6_fixed,split,42,departure_missing,0.00016906506976949176,-0.0321020114525604,-0.0007860660071234982,0.05215044299712496,0.00694444444444442,-0.125,0.31818181818181823,0.0295369422718013,platt,44
P6_fixed,split,42,arrival_missing,-0.0008291257806311014,0.0232835838789633,0.00343652793862248,0.04003888299752567,-0.1538461538461539,-0.25,0.0735294117647059,0.0119836328805767,platt,47
P6_fixed,split,42,both_missing,-0.013241857259046919,0.008453248845557912,-0.04648224000162515,0.0,0.5,0.0,,0.0391894649066398,platt,5
P6_clean,shared,42,overall,-0.0012377569658803822,-0.0180332877500834,-0.0034069121359610044,-0.009975139256082843,-0.005677210056772131,0.0555555555555555,-0.008332185649359586,0.0085936171506502,platt,501
P6_clean,shared,42,both_observed,-0.0005367155257202938,-0.0155425231697706,-0.0006375629161237684,-0.026026984816194865,-0.015679154976068643,0.0410958904109589,-0.029156010230178997,0.0087160316238687,platt,405
P6_clean,shared,42,departure_missing,-0.0048733556295743885,-0.027338801576150998,-0.02010566537342906,0.03575027270139125,0.02083333333333337,0.125,0.05555555555555561,0.0170458018014174,platt,44
P6_clean,shared,42,arrival_missing,-0.0023208039161368155,-0.023816146955062005,-0.0039647447828873306,0.10531897926634776,0.0,0.125,0.1298701298701299,-0.0009300576190269996,platt,47
P6_clean,shared,42,both_missing,-0.01584820404591769,-0.1651698027527998,-0.0755315435719578,-0.0892857142857143,0.0,0.0,0.0,0.0138213627281627,platt,5
P6_clean,split,42,overall,-0.0010135532064668995,-0.012581520878293699,-0.0023342225479015544,-0.01976915291104303,-0.007515544741822144,0.05555555555555558,-0.014802803640548201,0.0156390409285154,platt,501
P6_clean,split,42,both_observed,-0.0003151196743035045,-0.0092660528721679,0.0004930287044658255,-0.04264030350017073,-0.014317544149199612,0.0410958904109589,-0.04002425712553059,0.014992501921471401,platt,405
P6_clean,split,42,departure_missing,-0.006520962776732614,-0.0059732137730407996,-0.026006464374782656,0.11276442971554829,0.03125,0.25,0.2222222222222222,0.0303305129671406,platt,44
P6_clean,split,42,arrival_missing,0.0012371520879889963,-0.013543568911742902,0.008631407510850397,0.08890922959572856,-0.09615384615384609,0.0,0.0962566844919786,0.0060549749808684016,platt,47
P6_clean,split,42,both_missing,-0.030278094861240695,-0.1923603850101308,-0.12610276846537827,0.0,0.25,0.0,0.0,0.0288139664670585,platt,5
P6_fixed,shared,42,overall,0.003850086432204608,0.011414493594896304,0.20391169524820402,0.013618322666169524,0.018221140848878048,0.05555555555555547,0.019493177387914284,0.016216953955024,isotonic,501
P6_fixed,shared,42,both_observed,0.002174374607664592,0.004973698099688201,0.16374494189403827,0.01507306334615105,0.02238405677504529,0.0547945205479452,0.02070043777360861,0.0142605999361668,isotonic,405
P6_fixed,shared,42,departure_missing,0.0010111881085023977,0.0587564994826502,0.0010540120524281105,0.04856390317320963,-0.04166666666666674,0.125,0.0641025641025641,0.0144346493448413,isotonic,44
P6_fixed,shared,42,arrival_missing,0.019950806415517774,0.0171919683880689,0.7570305200006922,-0.013993048724506463,0.0689102564102565,0.0,-0.0098039215686275,0.0360388257924249,isotonic,47
P6_fixed,shared,42,both_missing,0.013218281625372308,0.18365199291179748,0.04324937638508097,-0.06944444444444442,0.0,0.0,,0.004040314780510198,isotonic,5
P6_fixed,split,42,overall,0.0033314192843680035,0.024515300232850798,0.5939204954378343,-0.0004835979948218938,-0.00025682616923494717,-0.0444444444444444,-0.004687500000000011,0.0232059891558106,isotonic,501
P6_fixed,split,42,both_observed,0.0016380894340859153,0.013072406385207402,0.566154798577909,0.01466832895531256,0.016999504868790316,-0.0136986301369863,0.016025641025640996,0.0230048277113875,isotonic,405
P6_fixed,split,42,departure_missing,0.011582064931347696,0.019215118160631407,0.7692972821511737,-0.1162858155799788,-0.11979166666666663,-0.25,-0.1818181818181818,0.0275857016444188,isotonic,44
P6_fixed,split,42,arrival_missing,0.011314745508413021,0.05679941985760151,0.7351735525208918,-0.0164097496706192,-0.08493589743589752,-0.125,-0.03361344537815131,0.017072325300525,isotonic,47
P6_fixed,split,42,both_missing,-0.007157811042225903,-0.016148535196824493,-0.028152518566331275,-0.06944444444444442,0.25,0.0,,0.0586150364940143,isotonic,5
P6_clean,shared,42,overall,0.0020047900108420003,0.009308728197471902,0.3324225081165126,0.00842848591927392,0.027669640443363064,0.0555555555555555,0.0132689062739684,0.0101923801086834,isotonic,501
P6_clean,shared,42,both_observed,0.0019958289173392096,0.013981545573653702,0.32160834956355355,0.002737579104208243,0.01778346261759367,0.0684931506849315,0.005216426193118795,0.0113230543911985,isotonic,405
P6_clean,shared,42,departure_missing,0.008640924170148112,0.0454838473088828,0.8489039071396591,0.0,0.03125,0.0,0.0,0.007075700349429099,isotonic,44
