date,thanksgiving_year,share_2018,november_median_share_2018,delta_vs_median,direction,matches_prediction
11-22,2018,0.4512847965738758,0.583317174886363,-0.1320323783124872,depresses 2018,True
11-28,2019,0.7032563025210085,0.583317174886363,0.11993912763464543,depresses 2019,True
