stratum,picking_order_rank,non_empty_population_rows,selected_rows
2019|spring|West:Los_Angeles|large,123,14914,1
2018|summer|West:Los_Angeles|large,124,14600,1
2019|summer|West:Los_Angeles|large,125,15975,1
2018|winter|West:Los_Angeles|large,126,15767,1
2019|winter|West:Los_Angeles|large,127,14183,1
2018|fall|West:Phoenix|large,128,2905,1
2019|fall|West:Phoenix|large,129,2110,1
2018|spring|West:Phoenix|large,130,1547,1
2019|spring|West:Phoenix|large,131,2253,1
2018|summer|West:Phoenix|large,132,1863,1
2019|summer|West:Phoenix|large,133,2138,1
2018|winter|West:Phoenix|large,134,1974,1
2019|winter|West:Phoenix|large,135,2197,1
2018|fall|Alaska|medium,136,156,1
2019|fall|Alaska|medium,137,115,1
2018|spring|Alaska|medium,138,153,1
2019|spring|Alaska|medium,139,114,1
2018|summer|Alaska|medium,140,73,1
2019|summer|Alaska|medium,141,155,1
2018|winter|Alaska|medium,142,101,1
2019|winter|Alaska|medium,143,122,1
2018|fall|Hawaii|medium,144,156,1
2019|fall|Hawaii|medium,145,115,1
2018|spring|Hawaii|medium,146,166,1
2019|spring|Hawaii|medium,147,91,1
2018|summer|Hawaii|medium,148,114,1
2019|summer|Hawaii|medium,149,101,1
2018|winter|Hawaii|medium,150,141,1
2019|winter|Hawaii|medium,151,112,1
2018|fall|Midwest:Chicago|medium,152,1163,1
2019|fall|Midwest:Chicago|medium,153,846,1
2018|spring|Midwest:Chicago|medium,154,575,1
2019|spring|Midwest:Chicago|medium,155,794,1
2018|summer|Midwest:Chicago|medium,156,520,1
2019|summer|Midwest:Chicago|medium,157,907,1
2018|winter|Midwest:Chicago|medium,158,735,1
2019|winter|Midwest:Chicago|medium,159,712,1
2018|fall|Midwest:Denver|small,160,25,1
2019|fall|Midwest:Denver|small,161,10,1
2018|spring|Midwest:Denver|small,162,15,1
2019|spring|Midwest:Denver|small,163,13,1
2018|summer|Midwest:Denver|small,164,15,1
2019|summer|Midwest:Denver|small,165,12,1
2018|winter|Midwest:Denver|small,166,21,1
2019|winter|Midwest:Denver|small,167,7,1
2018|fall|Midwest:Detroit|medium,168,311,1
2019|fall|Midwest:Detroit|medium,169,227,1
2018|spring|Midwest:Detroit|medium,170,144,1
2019|spring|Midwest:Detroit|medium,171,221,1
2018|summer|Midwest:Detroit|medium,172,114,1
2019|summer|Midwest:Detroit|medium,173,277,1
2018|winter|Midwest:Detroit|medium,174,203,1
2019|winter|Midwest:Detroit|medium,175,203,1
2018|fall|Midwest:Indianapolis|medium,176,210,1
2019|fall|Midwest:Indianapolis|medium,177,167,1
2018|spring|Midwest:Indianapolis|medium,178,105,1
2019|spring|Midwest:Indianapolis|medium,179,158,1
2018|summer|Midwest:Indianapolis|medium,180,88,1
2019|summer|Midwest:Indianapolis|medium,181,157,1
2018|winter|Midwest:Indianapolis|medium,182,143,1
2019|winter|Midwest:Indianapolis|medium,183,154,1
2018|fall|Midwest:New_York|medium,184,154,1
2019|fall|Midwest:New_York|medium,185,115,1
2018|spring|Midwest:New_York|medium,186,71,1
2019|spring|Midwest:New_York|medium,187,126,1
2018|summer|Midwest:New_York|medium,188,111,1
2019|summer|Midwest:New_York|medium,189,127,1
2018|winter|Midwest:New_York|medium,190,91,1
2019|winter|Midwest:New_York|medium,191,105,1
2018|fall|Non-contiguous territory|medium,192,65,1
2019|fall|Non-contiguous territory|medium,193,47,1
2018|spring|Non-contiguous territory|medium,194,48,1
2019|spring|Non-contiguous territory|medium,195,80,1
2018|summer|Non-contiguous territory|medium,196,61,1
2019|summer|Non-contiguous territory|medium,197,69,1
2018|winter|Non-contiguous territory|medium,198,46,1
2019|winter|Non-contiguous territory|medium,199,74,1
2018|fall|Northeast:New_York|medium,200,655,1
2019|fall|Northeast:New_York|medium,201,470,1
2018|spring|Northeast:New_York|medium,202,325,1
2019|spring|Northeast:New_York|medium,203,471,1
2018|summer|Northeast:New_York|medium,204,443,1
2019|summer|Northeast:New_York|medium,205,506,1
2018|winter|Northeast:New_York|medium,206,415,1
2019|winter|Northeast:New_York|medium,207,437,1
2018|fall|South:Chicago|medium,208,1277,1
2019|fall|South:Chicago|medium,209,993,1
2018|spring|South:Chicago|medium,210,522,1
2019|spring|South:Chicago|medium,211,888,1
2018|summer|South:Chicago|medium,212,657,1
2019|summer|South:Chicago|medium,213,946,1
2018|winter|South:Chicago|medium,214,773,1
2019|winter|South:Chicago|medium,215,845,1
2018|fall|South:New_York|medium,216,1155,1
2019|fall|South:New_York|medium,217,845,1
2018|spring|South:New_York|medium,218,372,1
2019|spring|South:New_York|medium,219,884,1
2018|summer|South:New_York|medium,220,396,1
2019|summer|South:New_York|medium,221,887,1
2018|winter|South:New_York|medium,222,633,1
2019|winter|South:New_York|medium,223,868,1
2018|fall|West:Boise|medium,224,77,1
2019|fall|West:Boise|medium,225,55,1
2018|spring|West:Boise|medium,226,52,1
2019|spring|West:Boise|medium,227,50,1
2018|summer|West:Boise|medium,228,38,1
2019|summer|West:Boise|medium,229,75,1
2018|winter|West:Boise|medium,230,91,1
2019|winter|West:Boise|medium,231,83,1
2018|fall|West:Denver|medium,232,671,1
2019|fall|West:Denver|medium,233,496,1
2018|spring|West:Denver|medium,234,463,1
2019|spring|West:Denver|medium,235,577,1
2018|summer|West:Denver|medium,236,546,1
2019|summer|West:Denver|medium,237,669,1
2018|winter|West:Denver|medium,238,690,1
2019|winter|West:Denver|medium,239,651,1
2018|fall|West:Los_Angeles|medium,240,477,1
2019|fall|West:Los_Angeles|medium,241,475,1
2018|spring|West:Los_Angeles|medium,242,394,1
2019|spring|West:Los_Angeles|medium,243,431,1
