year,level,keys,unmatched_rows,candidate_rows,candidate_rate
2018,L11_day_route,Month+Day_of_Month+Origin_Airport+Destination_Airport,5506,3616,0.6567381038866691
2018,L12_tail_route_times_any_day,Month+Tail_Number+Origin_Airport+Destination_Airport+Estimated_Departure_Time+Estimated_Arrival_Time,5506,0,0.0
2018,L13_dot_only,Carrier_ID(DOT),5506,12,0.002179440610243371
2019,L0_full,Month+Day_of_Month+Tail_Number+Origin_Airport+Destination_Airport+Distance+Carrier_ID(DOT)+Estimated_Departure_Time+Estimated_Arrival_Time,5506,0,0.0
2019,L1_drop_distance,Month+Day_of_Month+Tail_Number+Origin_Airport+Destination_Airport+Carrier_ID(DOT)+Estimated_Departure_Time+Estimated_Arrival_Time,5506,0,0.0
2019,L2_drop_dot,Month+Day_of_Month+Tail_Number+Origin_Airport+Destination_Airport+Distance+Estimated_Departure_Time+Estimated_Arrival_Time,5506,0,0.0
2019,L3_drop_distance_dot,Month+Day_of_Month+Tail_Number+Origin_Airport+Destination_Airport+Estimated_Departure_Time+Estimated_Arrival_Time,5506,0,0.0
2019,L4_drop_arrival_time,Month+Day_of_Month+Tail_Number+Origin_Airport+Destination_Airport+Distance+Carrier_ID(DOT)+Estimated_Departure_Time,5506,0,0.0
2019,L5_drop_both_times,Month+Day_of_Month+Tail_Number+Origin_Airport+Destination_Airport+Distance+Carrier_ID(DOT),5506,0,0.0
2019,L6_day_tail_route,Month+Day_of_Month+Tail_Number+Origin_Airport+Destination_Airport,5506,0,0.0
2019,L7_day_tail,Month+Day_of_Month+Tail_Number,5506,69,0.012531783508899382
2019,L8_tail_only,Tail_Number,5506,90,0.01634580457682528
2019,L9_day_route_times,Month+Day_of_Month+Origin_Airport+Destination_Airport+Estimated_Departure_Time+Estimated_Arrival_Time,5506,11,0.0019978205593897567
2019,L10_day_route_dep,Month+Day_of_Month+Origin_Airport+Destination_Airport+Estimated_Departure_Time,5506,148,0.02687976752633491
2019,L11_day_route,Month+Day_of_Month+Origin_Airport+Destination_Airport,5506,3736,0.6785325099891028
2019,L12_tail_route_times_any_day,Month+Tail_Number+Origin_Airport+Destination_Airport+Estimated_Departure_Time+Estimated_Arrival_Time,5506,1,0.00018162005085361425
2019,L13_dot_only,Carrier_ID(DOT),5506,12,0.002179440610243371
