phase_key,seed,macro_f1_minus_historical,log_loss_minus_historical,roc_auc_minus_historical
P6_fixed,42,1.1496347196437995e-07,-2.9793915384823677e-07,3.612448405965196e-07
P6_clean,42,-4.2051338189352805e-08,7.848311839309119e-08,-4.136768660956136e-07
P6_fixed,1,4.520922355366608e-07,1.4252170610351556e-07,2.726410297526627e-07
P6_clean,1,-4.049953414853036e-07,-3.0873561285282847e-07,1.471638495509353e-07
P6_fixed,7,2.7512660849549064e-07,-2.4719352165192277e-07,-1.4125858704971961e-08
P6_clean,7,-2.7124311119397504e-07,-4.173145081165508e-07,-4.96291816642902e-07
