phase_key,seed,fold,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,42,0,51001,9000,0.17646712809552753,0.1741277413861568,-0.0023393867093707277,0.5746383575029962,0.44786550073122783,0.6425855442595282,0.1400143218434482,0.006805199149489276,33596,8405,5656,3344,0.28461996765682185,0.37155555555555553,0.20011428299326206,0.6284444444444445,0.27570047646124585
P6_fixed,42,1,51000,9000,0.17647058823529413,0.17473660928404977,-0.0017339789512443582,0.5795158513434846,0.44619596579859605,0.6479892976190476,0.13945885572598066,0.006705053849415504,34838,7162,5951,3049,0.2985995495054353,0.3387777777777778,0.17052380952380952,0.6612222222222223,0.2571176470588235
P6_fixed,42,2,51000,9000,0.17647058823529413,0.17437675939931316,-0.002093828835980971,0.5723271014211311,0.44815853306452447,0.6413870621693123,0.14014630002489673,0.0056734140092742635,33673,8327,5732,3268,0.28184562311341094,0.3631111111111111,0.19826190476190475,0.6368888888888888,0.27566666666666667
P6_fixed,42,3,51000,9000,0.17647058823529413,0.1744456488618295,-0.0020249393734646237,0.5784767872092911,0.44726668683980003,0.6433153029100529,0.13977679312834057,0.00533020670850834,35195,6805,6082,2918,0.30011313380643834,0.32422222222222224,0.16202380952380951,0.6757777777777778,0.2526862745098039
P6_fixed,42,4,51000,9000,0.17647058823529413,0.17398107337744587,-0.002489514857848263,0.5770435055011215,0.44718181344265756,0.6444774616402116,0.13979480844733602,0.006380372620485181,35180,6820,6106,2894,0.2979205270743257,0.32155555555555554,0.16238095238095238,0.6784444444444444,0.25345098039215685
P6_clean,42,0,51001,9000,0.17646712809552753,0.17423149707312038,-0.0022356310224071474,0.5761252700114655,0.44767942670169253,0.6436533415871051,0.13995293311536391,0.0070390851079393125,33571,8430,5615,3385,0.28650021159542954,0.3761111111111111,0.200709506916502,0.6238888888888889,0.27538675712240934
P6_clean,42,1,51000,9000,0.17647058823529413,0.17492693588247976,-0.0015436523528143675,0.5798783065581048,0.44602064994637547,0.6486692328042328,0.13938291862171703,0.006898237178245067,34801,7199,5932,3068,0.2988214668354924,0.3408888888888889,0.1714047619047619,0.6591111111111111,0.2574705882352941
P6_clean,42,2,51000,9000,0.17647058823529413,0.17465323030082625,-0.0018173579344678836,0.5733874331231433,0.44817207722123126,0.640789343915344,0.1401119753673439,0.00436286336776258,34872,7128,6086,2914,0.2901812387970524,0.3237777777777778,0.1697142857142857,0.6762222222222222,0.25909803921568625
P6_clean,42,3,51000,9000,0.17647058823529413,0.17465842138231827,-0.0018121668529758606,0.5771306918972741,0.44722300966826106,0.6439037526455026,0.1397880418026388,0.004248902937651305,35018,6982,6055,2945,0.2966656593129848,0.32722222222222225,0.16623809523809524,0.6727777777777778,0.25562745098039213
P6_clean,42,4,51000,9000,0.17647058823529413,0.17395629266987495,-0.0025142955654191834,0.5773859318311307,0.44703021996924314,0.6448037314814815,0.1397286781534064,0.005576179902967371,35186,6814,6101,2899,0.29846597343766085,0.3221111111111111,0.16223809523809524,0.6778888888888889,0.25323529411764706
P6_fixed,1,0,51001,9000,0.17646712809552753,0.17401282766631992,-0.0024543004292076065,0.5732224970822922,0.44770795389306445,0.6415133211114021,0.13994013224866692,0.004330856731663643,33700,8301,5721,3279,0.283160621761658,0.36433333333333334,0.19763815147258398,0.6356666666666667,0.2749357855728319
P6_fixed,1,1,51000,9000,0.17647058823529413,0.17489812044802916,-0.0015724677872649695,0.5746142763374642,0.4484331919099136,0.6405838796296297,0.14024112349833945,0.0050218521929992705,34832,7168,6049,2951,0.29162960766874196,0.3278888888888889,0.17066666666666666,0.6721111111111111,0.259156862745098
P6_fixed,1,2,51000,9000,0.17647058823529413,0.17410445311302838,-0.0023661351222657445,0.5760182859929892,0.4475091449845796,0.6445920238095237,0.13996000094387642,0.006657327036992326,35086,6914,6098,2902,0.295639771801141,0.3224444444444444,0.1646190476190476,0.6775555555555556,0.25513725490196076
P6_fixed,1,3,51000,9000,0.17647058823529413,0.17499053140513363,-0.0014800568301605033,0.5738563486015816,0.448349396765685,0.6393356891534392,0.14013458898222078,0.003224251706249533,34687,7313,6020,2980,0.28951714757602254,0.33111111111111113,0.17411904761904762,0.6688888888888889,0.2614313725490196
P6_fixed,1,4,51000,9000,0.17647058823529413,0.17297370465441325,-0.0034968835808808774,0.5735883394626566,0.448406032372712,0.6394144285714285,0.14014387780767376,0.00482041751376664,33650,8350,5697,3303,0.2834463228353214,0.367,0.1988095238095238,0.633,0.2754313725490196
P6_clean,1,0,51001,9000,0.17646712809552753,0.17422556435469297,-0.0022415637408345623,0.573660545451325,0.447376624948172,0.6428241417532385,0.13983234240230785,0.004233958598167123,33619,8382,5685,3315,0.2834060015388561,0.36833333333333335,0.19956667698388134,0.6316666666666667,0.27581812121330956
P6_clean,1,1,51000,9000,0.17647058823529413,0.17492486945794897,-0.001545718777345162,0.5753860091834695,0.4482322073570179,0.6411659484126984,0.1401595492585971,0.00590474711515893,34975,7025,6077,2923,0.2938279051065541,0.3247777777777778,0.16726190476190475,0.6752222222222222,0.2569019607843137
