y_true,wrong_seeds,n,median_probability,median_seed_spread
0,0,156478,0.13942831065926042,0.020697173914363945
0,1,18513,0.21496056769875538,0.06319251236223658
0,2,13443,0.24037190895344349,0.061285182946650196
0,3,21567,0.28410034294138725,0.04557725385044448
1,0,10363,0.2928080481172517,0.04858377778375944
1,1,4563,0.24147776752822236,0.060599766203455
1,2,5179,0.21715305230662152,0.05849966138697052
1,3,24895,0.15506375002687756,0.022708460718828788
