station,rows_needing_station,original_padded_hours,merged_union_hours,already_cache_covered_hours,newly_needed_hours,has_real_sample_for_rate_estimate
CYS,50,400.0,400.0,0.0,400.0,False
EAR,87,696.0,671.5,0.0,671.5,False
VEL,88,704.0,679.1666666666666,0.0,679.1666666666666,False
HVN,144,1152.0,1088.9333333333334,16.0,1072.9333333333334,True
PGRO,12,96.0,96.0,0.0,96.0,False
NSTU,19,152.0,152.0,8.0,144.0,True
STC,5,40.0,40.0,0.0,40.0,False
OGS,70,560.0,552.1333333333333,0.0,552.1333333333333,False
BFF,116,928.0,905.8666666666667,24.0,881.8666666666667,True
JLN,163,1304.0,1248.6833333333334,8.0,1240.6833333333334,True
LBL,116,928.0,897.45,0.0,897.45,False
OGD,3,24.0,18.4,0.0,18.4,False
PAE,623,4984.0,3365.9333333333334,0.0,3365.9333333333334,False
ATY,44,352.0,340.3833333333333,0.0,340.3833333333333,False
PIR,48,384.0,369.8333333333333,0.0,369.8333333333333,False
SHD,124,992.0,978.0833333333334,16.0,962.0833333333334,True
WYS,25,200.0,193.68333333333334,0.0,193.68333333333334,False
ACK,257,2056.0,1548.2666666666667,0.0,1548.2666666666667,False
MVY,91,728.0,641.3166666666667,8.0,633.3166666666667,True
HYA,22,176.0,176.0,0.0,176.0,False
PADL,10,80.0,80.0,0.0,80.0,False
PAGS,16,128.0,128.0,0.0,128.0,False
PAKN,10,80.0,80.0,0.0,80.0,False
BFM,11,88.0,88.0,0.0,88.0,False
YNG,1,8.0,8.0,0.0,8.0,False
