seed,n_rows,positive_rows,positive_rate,n_features,log_loss,roc_auc,f1_at_050,macro_f1_nested,naive_macro_f1,threshold_optimism,deployment_threshold,per_fold_thresholds,selected_n_estimators,grid_scores,tn,fp,fn,tp,recall,fold_fingerprint,elapsed_sec,protocol,condition
1,180332,31805,0.17636914136148882,30,0.44808664242820934,0.640928260643451,0.45347904564676833,0.5745881366518336,0.5744658926938866,-0.00012224395794702136,0.23,"[0.22,0.22,0.23,0.23,0.23]","[50,50,50,50,50]","[{""10"":0.45473970758087395,""25"":0.44977973344459043,""50"":0.44894548588095456,""75"":0.4494357514373668,""100"":0.4499169219434514,""150"":0.45000543392338366,""300"":0.45328241912419215,""600"":0.46182795381885317},{""10"":0.45308632936273313,""25"":0.4474676447918779,""50"":0.4459911594904825,""75"":0.44633094223116776,""100"":0.4469618549210742,""150"":0.4478511657358347,""300"":0.45117512692754996,""600"":0.46013405618943637},{""10"":0.4536851881568811,""25"":0.4485841523678656,""50"":0.44737983663405273,""75"":0.447991613119756,""100"":0.4485757118973605,""150"":0.4496973179472861,""300"":0.4530634893668821,""600"":0.46258807262225504},{""10"":0.45370996618605114,""25"":0.4483797786910862,""50"":0.44734396215736133,""75"":0.44762171526834943,""100"":0.44813610991678254,""150"":0.4491869765634853,""300"":0.45300637368106234,""600"":0.4620849558963894},{""10"":0.45443238635312483,""25"":0.44945169786754013,""50"":0.4482750098028136,""75"":0.4486867937863665,""100"":0.4490473091139119,""150"":0.4496475640187129,""300"":0.4529485180005953,""600"":0.4615110686816306}]",122657,25870,21217,10588,0.33290363150448044,f2f07507f085b3ee18e7c56515b70bc7491c6a2d180eeeb0e2e9cb9f72a0c8f1,50.42333040002268,"{""inner_early_stopping"":true,""inner_holdout_frac"":0.2,""metric_aggregation"":""pooled_oof"",""n_splits"":5,""n_thresholds"":61,""nested_threshold"":true,""seed"":1,""shuffle"":true,""stopping_rounds"":40,""threshold_grid"":[0.1,0.7,0.01],""threshold_selection"":""outer_train_holdout""}",weather_off
1,180332,31805,0.17636914136148882,44,0.4366243215358257,0.6732188419684435,0.4806873085945627,0.5990089451578524,0.5991059118890374,9.696673118497756e-05,0.23,"[0.24,0.23,0.23,0.23,0.24]","[150,75,100,100,150]","[{""10"":0.44891185508937587,""25"":0.4406811713491001,""50"":0.43778503609093217,""75"":0.4374626222380353,""100"":0.4372902761475836,""150"":0.4370604699955811,""300"":0.44006128260618654,""600"":0.44838461917933037},{""10"":0.4480711123031646,""25"":0.4387807803615771,""50"":0.43507701113582786,""75"":0.43435531166441654,""100"":0.4343943570257251,""150"":0.43439995235951046,""300"":0.4380362239736505,""600"":0.44631925184602367},{""10"":0.44826017945592095,""25"":0.4391425664907526,""50"":0.43530962049195376,""75"":0.4347104378801861,""100"":0.4346518198328672,""150"":0.43475053349836035,""300"":0.43849271323888733,""600"":0.44630324643534564},{""10"":0.44864950578125923,""25"":0.4400130438108638,""50"":0.4367849640782103,""75"":0.43614292462335547,""100"":0.4358308407726613,""150"":0.4362507110755806,""300"":0.43948384545233676,""600"":0.449090900613102},{""10"":0.4490394955145439,""25"":0.44086526789832664,""50"":0.43732607273374763,""75"":0.4368524462865795,""100"":0.4367571568883308,""150"":0.43669590424687343,""300"":0.43962274505237803,""600"":0.4472756870889157}]",125813,22714,20461,11344,0.35667347901273383,f2f07507f085b3ee18e7c56515b70bc7491c6a2d180eeeb0e2e9cb9f72a0c8f1,54.32618289999664,"{""inner_early_stopping"":true,""inner_holdout_frac"":0.2,""metric_aggregation"":""pooled_oof"",""n_splits"":5,""n_thresholds"":61,""nested_threshold"":true,""seed"":1,""shuffle"":true,""stopping_rounds"":40,""threshold_grid"":[0.1,0.7,0.01],""threshold_selection"":""outer_train_holdout""}",weather_on
7,180332,31805,0.17636914136148882,30,0.44809442622128076,0.6405298095738025,0.4538206213881503,0.5739647760563852,0.5740200678153368,5.5291758951581116e-05,0.22,"[0.22,0.23,0.22,0.22,0.22]","[50,50,50,50,50]","[{""10"":0.45439761637980464,""25"":0.4494636066745149,""50"":0.4485207340741213,""75"":0.4494445020574379,""100"":0.4503668332153952,""150"":0.4512484922222226,""300"":0.45537249013244513,""600"":0.4651221948990333},{""10"":0.4539846640317741,""25"":0.4490833353734267,""50"":0.44845001129134915,""75"":0.44910265653364034,""100"":0.44997978151188495,""150"":0.45054441891796565,""300"":0.4544972675783439,""600"":0.4639034993400691},{""10"":0.4542712071563742,""25"":0.4492151264458286,""50"":0.4484688543027868,""75"":0.44891995483013464,""100"":0.44954082032508397,""150"":0.45051158420058574,""300"":0.4536842978051169,""600"":0.4628474005585192},{""10"":0.4542195673183654,""25"":0.4491262207386602,""50"":0.44819631695537876,""75"":0.4488340162010456,""100"":0.4495464456177438,""150"":0.4505234580468495,""300"":0.4546560110893448,""600"":0.4640884871810418},{""10"":0.4536443931681071,""25"":0.4480867531968064,""50"":0.4467065648687239,""75"":0.44695980310934447,""100"":0.4474720615735685,""150"":0.4476197691194006,""300"":0.45081471175417615,""600"":0.45922348741692587}]",120611,27916,20622,11183,0.3516113818581984,633e0cba3bc151ceb9f2d2ba7ee20a9da6809dac4e66923debe171c478e06172,50.32577499997569,"{""inner_early_stopping"":true,""inner_holdout_frac"":0.2,""metric_aggregation"":""pooled_oof"",""n_splits"":5,""n_thresholds"":61,""nested_threshold"":true,""seed"":7,""shuffle"":true,""stopping_rounds"":40,""threshold_grid"":[0.1,0.7,0.01],""threshold_selection"":""outer_train_holdout""}",weather_off
7,180332,31805,0.17636914136148882,44,0.4366013062656505,0.6731801960503944,0.47850773895327564,0.5993263475905303,0.5998859475609135,0.0005595999703832399,0.24,"[0.22,0.24,0.23,0.24,0.24]","[100,75,75,100,100]","[{""10"":0.4485632527733756,""25"":0.43996979615744736,""50"":0.4365839998794756,""75"":0.4363488172233312,""100"":0.4362687537427777,""150"":0.4364682460084711,""300"":0.44016083269750317,""600"":0.4493139414194385},{""10"":0.4491572429252472,""25"":0.4406899673613759,""50"":0.43783355652916534,""75"":0.43768875379243094,""100"":0.4378970414155456,""150"":0.437969840452666,""300"":0.4413222748600566,""600"":0.44949940813824996},{""10"":0.44909627569811006,""25"":0.4406533843469143,""50"":0.4368821457335591,""75"":0.43628402774975594,""100"":0.43643548942237675,""150"":0.43677845153224165,""300"":0.44042811389905234,""600"":0.4489659412669375},{""10"":0.4486277529371653,""25"":0.4394710923231802,""50"":0.4360044610240483,""75"":0.4356148629931837,""100"":0.43552587719502917,""150"":0.4359915623240716,""300"":0.4392363040410831,""600"":0.44778959261812923},{""10"":0.44809165572453613,""25"":0.4389369249764849,""50"":0.4348496132184446,""75"":0.43426436531079593,""100"":0.4339938166935005,""150"":0.4342022393331975,""300"":0.43692659919456645,""600"":0.44430330181041394}]",126203,22324,20565,11240,0.35340355290048736,633e0cba3bc151ceb9f2d2ba7ee20a9da6809dac4e66923debe171c478e06172,54.905121200019494,"{""inner_early_stopping"":true,""inner_holdout_frac"":0.2,""metric_aggregation"":""pooled_oof"",""n_splits"":5,""n_thresholds"":61,""nested_threshold"":true,""seed"":7,""shuffle"":true,""stopping_rounds"":40,""threshold_grid"":[0.1,0.7,0.01],""threshold_selection"":""outer_train_holdout""}",weather_on
42,180332,31805,0.17636914136148882,30,0.448167898398819,0.6403967378881917,0.4538945016152365,0.5731765034366542,0.5735628583981267,0.0003863549614725459,0.22,"[0.23,0.22,0.22,0.22,0.22]","[50,50,50,50,50]","[{""10"":0.4546009435314061,""25"":0.4499666555399454,""50"":0.4494594353830434,""75"":0.4503390231173723,""100"":0.4510310811387079,""150"":0.45249645193666516,""300"":0.4560008030118078,""600"":0.4654921439776498},{""10"":0.4546051985664012,""25"":0.45020083781214826,""50"":0.4496995299339997,""75"":0.45044414308094594,""100"":0.4511801451329941,""150"":0.4517844887270955,""300"":0.4559356848839076,""600"":0.46632243384770583},{""10"":0.4540631139854096,""25"":0.4487041866333059,""50"":0.4475528089601191,""75"":0.4481184014651805,""100"":0.4489263116610544,""150"":0.4498441562372645,""300"":0.4539801319001152,""600"":0.46387717477993384},{""10"":0.4539594512180928,""25"":0.44884734964069367,""50"":0.44766116665061384,""75"":0.44823281799672676,""100"":0.4490073211239404,""150"":0.4499559780701292,""300"":0.4530942013007871,""600"":0.4614915177194709},{""10"":0.45421385658529384,""25"":0.4487173642382392,""50"":0.44762976801957494,""75"":0.44825952402602004,""100"":0.4489654777853692,""150"":0.45026861573293014,""300"":0.45428140553386165,""600"":0.46357234516504947}]",120124,28403,20526,11279,0.35462977519257977,6d5c2e00619f9e0dcef48814484896fa958bcaae0cc570dfe87e50024c4ea28b,44.32605060003698,"{""inner_early_stopping"":true,""inner_holdout_frac"":0.2,""metric_aggregation"":""pooled_oof"",""n_splits"":5,""n_thresholds"":61,""nested_threshold"":true,""seed"":42,""shuffle"":true,""stopping_rounds"":40,""threshold_grid"":[0.1,0.7,0.01],""threshold_selection"":""outer_train_holdout""}",weather_off
42,180332,31805,0.17636914136148882,44,0.43684068659054054,0.6724075403960048,0.47737913454192626,0.5985001857064208,0.5983550193625864,-0.00014516634383443527,0.23,"[0.23,0.24,0.24,0.23,0.23]","[100,100,100,100,75]","[{""10"":0.44899125669338047,""25"":0.4411368912013683,""50"":0.4381626658441678,""75"":0.43818530391593025,""100"":0.4378839765240247,""150"":0.4381872344191912,""300"":0.44160805398035885,""600"":0.45034901160014124},{""10"":0.44876641543514284,""25"":0.44114241122345227,""50"":0.4380870923361367,""75"":0.4381067249798041,""100"":0.4379937882660191,""150"":0.4383007929018075,""300"":0.4412246931936773,""600"":0.4488489222161606},{""10"":0.4484893449098499,""25"":0.43954141240311007,""50"":0.4362326314236179,""75"":0.4353764127683304,""100"":0.4351056761024161,""150"":0.4351880294891547,""300"":0.43872831557449116,""600"":0.4469177845186926},{""10"":0.44847891626673064,""25"":0.4400542667269154,""50"":0.43653851858038734,""75"":0.4363233498663294,""100"":0.4362790758786159,""150"":0.4363981109216642,""300"":0.4385925548067103,""600"":0.4458387464723775},{""10"":0.44903346678024403,""25"":0.4405970887724125,""50"":0.4370965873076579,""75"":0.43648539772210615,""100"":0.43657627153212997,""150"":0.4365829038895936,""300"":0.4402465709313844,""600"":0.4485518369131141}]",125603,22924,20429,11376,0.3576796101241943,6d5c2e00619f9e0dcef48814484896fa958bcaae0cc570dfe87e50024c4ea28b,55.22540819999995,"{""inner_early_stopping"":true,""inner_holdout_frac"":0.2,""metric_aggregation"":""pooled_oof"",""n_splits"":5,""n_thresholds"":61,""nested_threshold"":true,""seed"":42,""shuffle"":true,""stopping_rounds"":40,""threshold_grid"":[0.1,0.7,0.01],""threshold_selection"":""outer_train_holdout""}",weather_on
