role,requests,matched,unmatched_no_prediction_at,unmatched_stale_or_no_report,match_rate,median_age_minutes,max_age_minutes
origin,21,20,1,0,0.9523809523809523,48.0,67.0
destination,21,20,1,0,0.9523809523809523,44.5,68.0
