role,requests,matched,not_collectible_mapping,unresolved_no_prediction_at,unmatched_stale_or_no_report,match_rate_of_all_selected
origin,300,266,32,0,2,0.8866666666666667
destination,300,268,32,0,0,0.8933333333333333
